scientific_name,module_id,module_name,matrix_segment,evidence_state,observed_now,evidence_level,source,basis
Cacatua goffiniana,D,manipulation_embodiment,current29,positive,1,pilot7,,literature:innovative_tool_manufacture; literature:composite_tool_innovation; literature:innovative_tool_manufacture; literature:composite_tool_innovation
Cacatua goffiniana,E,externalization,current29,ambiguous,1,pilot7,Sheard2024,No confirmed constructed nest-structure category in S2; cavity modification/none uncertain.
Cacatua goffiniana,F,social_architecture,current29,not_tested,0,pilot7,,
Cacatua goffiniana,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Cacatua goffiniana,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Cacatua goffiniana,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Cacatua goffiniana,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Psittacus erithacus,A,generative_cognition,current29,not_tested,0,pilot7,,
Psittacus erithacus,B,social_transmission,current29,not_tested,0,pilot7,,
Psittacus erithacus,C,communication,current29,positive,1,pilot7,,literature:referential_vocal_label_learning
Psittacus erithacus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Psittacus erithacus,E,externalization,current29,ambiguous,1,pilot7,Sheard2024,Excavation/cavity modification/none uncertain; no confirmed constructed structure category.
Psittacus erithacus,F,social_architecture,current29,not_tested,0,pilot7,,
Psittacus erithacus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Psittacus erithacus,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Psittacus erithacus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Psittacus erithacus,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Melopsittacus undulatus,A,generative_cognition,current29,not_tested,0,pilot7,,
Melopsittacus undulatus,B,social_transmission,current29,not_tested,0,pilot7,,
Melopsittacus undulatus,C,communication,current29,positive,1,pilot7,,literature:vocal_motor_representation_convergence
Melopsittacus undulatus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Melopsittacus undulatus,E,externalization,current29,ambiguous,1,pilot7,Sheard2024,Excavation/cavity modification/none uncertain; no confirmed constructed structure category.
Melopsittacus undulatus,F,social_architecture,current29,not_tested,0,pilot7,,
Melopsittacus undulatus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Melopsittacus undulatus,H,energetics_neural_budget,current29,measured_multi_axis,1,pilot7,,metabolic;neural
Melopsittacus undulatus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Melopsittacus undulatus,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Tursiops truncatus,A,generative_cognition,current29,not_tested,0,pilot7,,
Tursiops truncatus,B,social_transmission,current29,not_tested,0,pilot7,,
Tursiops truncatus,C,communication,current29,not_tested,0,pilot7,,
Tursiops truncatus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Tursiops truncatus,E,externalization,current29,not_tested,0,pilot7,,
Tursiops truncatus,F,social_architecture,current29,not_tested,1,pilot7,ASNR,
Tursiops truncatus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Tursiops truncatus,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Tursiops truncatus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Tursiops truncatus,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA;ACDB_groups,
Tursiops aduncus,A,generative_cognition,current29,not_tested,0,pilot7,,
Tursiops aduncus,B,social_transmission,current29,positive,1,pilot7,,ACDB:transmission:Shark Bay dolphins sponging; ACDB:transmission:Shark Bay dolphins prey inspection
Tursiops aduncus,C,communication,current29,not_tested,0,pilot7,,
Tursiops aduncus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Tursiops aduncus,E,externalization,current29,not_tested,0,pilot7,,
Tursiops aduncus,F,social_architecture,current29,not_tested,0,pilot7,,
Tursiops aduncus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Tursiops aduncus,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Tursiops aduncus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Tursiops aduncus,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Orcinus orca,A,generative_cognition,current29,not_tested,0,pilot7,,
Orcinus orca,B,social_transmission,current29,not_tested,0,pilot7,,
Orcinus orca,C,communication,current29,positive,1,pilot7,,ACDB:vocal_communication:K19 acoustic clan discrete calls; ACDB:vocal_communication:K20 acoustic clan discrete calls; ACDB:vocal_communication:Avacha acoustic clan discrete calls; ACDB:vocal_communication:Northern Resident killer whales whistles; ACDB:vocal_communication:Southern Resident killer whales whistles; ACDB:vocal_communication:Southern Resident killer whales discrete calls
Orcinus orca,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Orcinus orca,E,externalization,current29,not_tested,0,pilot7,,
Orcinus orca,F,social_architecture,current29,positive,1,pilot7,ASNR,ACDB:social:T-type killer whales discrete calls; ACDB:social:K19 acoustic clan discrete calls; ACDB:social:K20 acoustic clan discrete calls; ACDB:social:Avacha acoustic clan discrete calls; ACDB:social:Northern Resident killer whales whistles; ACDB:social:R-type killer whales groundfish depredation; ACDB:social:Southern Resident killer whales whistles; ACDB:social:Southern Resident killer whales porpoise harassment
Orcinus orca,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Orcinus orca,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Orcinus orca,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Orcinus orca,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA;ACDB_groups,
Physeter macrocephalus,A,generative_cognition,current29,not_tested,0,pilot7,,
Physeter macrocephalus,B,social_transmission,current29,not_tested,0,pilot7,,
Physeter macrocephalus,C,communication,current29,positive,1,pilot7,,ACDB:vocal_communication:Plus-One clan coda dialect; ACDB:vocal_communication:Regular clan coda dialect
Physeter macrocephalus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Physeter macrocephalus,E,externalization,current29,not_tested,0,pilot7,,
Physeter macrocephalus,F,social_architecture,current29,positive,1,pilot7,,ACDB:social:Gulf of Alaska sperm whales longline depradation; ACDB:social:Plus-One clan coda dialect; ACDB:social:Regular clan coda dialect
Physeter macrocephalus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Physeter macrocephalus,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Physeter macrocephalus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Physeter macrocephalus,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Megaptera novaeangliae,A,generative_cognition,current29,not_tested,0,pilot7,,
Megaptera novaeangliae,B,social_transmission,current29,positive,1,pilot7,,ACDB:transmission:Gulf of Maine humpback whales lobtail feeding; ACDB:transmission:North Pacific humpback whale metapopulation song; ACDB:transmission:Southern Hemisphere Group V humpback whale song variants
Megaptera novaeangliae,C,communication,current29,positive,1,pilot7,,ACDB:vocal_communication:North Pacific humpback whale metapopulation song; ACDB:vocal_communication:Southern Hemisphere Group V humpback whale song variants
Megaptera novaeangliae,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Megaptera novaeangliae,E,externalization,current29,not_tested,0,pilot7,,
Megaptera novaeangliae,F,social_architecture,current29,not_tested,0,pilot7,,
Megaptera novaeangliae,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Megaptera novaeangliae,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Megaptera novaeangliae,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Megaptera novaeangliae,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Loxodonta africana,A,generative_cognition,current29,not_tested,0,pilot7,,
Loxodonta africana,B,social_transmission,current29,not_tested,0,pilot7,,
Loxodonta africana,C,communication,current29,positive,1,pilot7,,literature:population_social_group_vocal_variation; ACDB:vocal_communication:Amboseli elephant population elephant rumbles; ACDB:vocal_communication:Samburu elephant population elephant rumbles
Loxodonta africana,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Loxodonta africana,E,externalization,current29,not_tested,0,pilot7,,
Loxodonta africana,F,social_architecture,current29,positive,1,pilot7,,ACDB:social:Amboseli elephant population elephant rumbles; ACDB:social:Samburu elephant population elephant rumbles
Loxodonta africana,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Loxodonta africana,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Loxodonta africana,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Loxodonta africana,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Elephas maximus,A,generative_cognition,current29,positive,1,pilot7,MacLean2014,literature:insightful_object_tool_use
Elephas maximus,B,social_transmission,current29,not_tested,0,pilot7,,
Elephas maximus,C,communication,current29,not_tested,0,pilot7,,
Elephas maximus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Elephas maximus,E,externalization,current29,not_tested,0,pilot7,,
Elephas maximus,F,social_architecture,current29,not_tested,1,pilot7,ASNR,
Elephas maximus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Elephas maximus,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,metabolic
Elephas maximus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Elephas maximus,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA,
Octopus vulgaris,A,generative_cognition,current29,not_tested,0,pilot7,,
Octopus vulgaris,B,social_transmission,current29,positive,1,pilot7,,literature:observational_learning
Octopus vulgaris,C,communication,current29,not_tested,0,pilot7,,
Octopus vulgaris,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Octopus vulgaris,E,externalization,current29,not_tested,0,pilot7,,
Octopus vulgaris,F,social_architecture,current29,not_tested,0,pilot7,,
Octopus vulgaris,G,life_history_learning_opportunity,current29,not_measured,0,pilot7,,
Octopus vulgaris,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Octopus vulgaris,I,ecological_challenge_opportunity,current29,not_systematically_joined,0,pilot7,,
Octopus vulgaris,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Bombus terrestris,A,generative_cognition,current29,not_tested,0,pilot7,,
Bombus terrestris,B,social_transmission,current29,positive,1,pilot7,,literature:supra_individual_skill_acquisition
Bombus terrestris,C,communication,current29,not_tested,0,pilot7,,
Bombus terrestris,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Bombus terrestris,E,externalization,current29,not_tested,0,pilot7,,
Bombus terrestris,F,social_architecture,current29,not_tested,0,pilot7,,
Bombus terrestris,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Bombus terrestris,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Bombus terrestris,I,ecological_challenge_opportunity,current29,not_systematically_joined,0,pilot7,,
Bombus terrestris,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Apis mellifera,A,generative_cognition,current29,not_tested,0,pilot7,,
Apis mellifera,B,social_transmission,current29,positive,1,pilot7,,literature:waggle_dance_learning; ACDB:transmission:E1 honey bee colonies waggle dance
Apis mellifera,C,communication,current29,not_tested,0,pilot7,,
Apis mellifera,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Apis mellifera,E,externalization,current29,not_tested,0,pilot7,,
Apis mellifera,F,social_architecture,current29,not_tested,0,pilot7,,
Apis mellifera,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Apis mellifera,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Apis mellifera,I,ecological_challenge_opportunity,current29,not_systematically_joined,0,pilot7,,
Apis mellifera,J,demography_cultural_population,current29,measured_cultural_context,1,pilot7,ACDB_groups,
Columba livia,A,generative_cognition,current29,not_tested,1,pilot7,MacLean2014,
Columba livia,B,social_transmission,current29,positive,1,pilot7,,literature:cumulative_route_improvement
Columba livia,C,communication,current29,not_tested,0,pilot7,,
Columba livia,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Columba livia,E,externalization,current29,ambiguous,1,pilot7,Sheard2024,Platform structure is uncertain in S2; nesting locations are known but location alone is not persistent construction.
Columba livia,F,social_architecture,current29,not_tested,0,pilot7,,
Columba livia,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Columba livia,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Columba livia,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Columba livia,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Suricata suricatta,A,generative_cognition,current29,not_tested,0,pilot7,,
Suricata suricatta,B,social_transmission,current29,positive,1,pilot7,,literature:teaching_prey_handling
Suricata suricatta,C,communication,current29,not_tested,0,pilot7,,
Suricata suricatta,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Suricata suricatta,E,externalization,current29,not_tested,0,pilot7,,
Suricata suricatta,F,social_architecture,current29,not_tested,0,pilot7,,
Suricata suricatta,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Suricata suricatta,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,metabolic
Suricata suricatta,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Suricata suricatta,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Aldabrachelys gigantea,A,generative_cognition,tier1_new50,positive_proxy,1,exact_species_seed,pmid:31720927,operant_conditioning_visual_discrimination_long_term_memory
Aldabrachelys gigantea,B,social_transmission,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,C,communication,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,D,manipulation_embodiment,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,E,externalization,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,F,social_architecture,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,G,life_history_learning_opportunity,tier1_new50,measured_screening_proxy,1,screening_proxy,screening_features_v0,G_life_history_proxy
Aldabrachelys gigantea,H,energetics_neural_budget,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,I,ecological_challenge_opportunity,tier1_new50,not_systematically_coded,0,,,
Aldabrachelys gigantea,J,demography_cultural_population,tier1_new50,not_systematically_coded,0,,,
Aphelocoma californica,A,generative_cognition,tier1_new50,positive,1,exact_species_seed,pmid:17314979,future_need_planning
