scientific_name,module_id,retrieval_rank,paper_id,title,screening_status
Castor canadensis,B,1,pmcid:PMC2607342,Review. Establishing an experimental science of culture: animal social diffusion experiments.,pending
Castor canadensis,B,2,pmid:33795431,The burgeoning reach of animal culture.,pending
Castor canadensis,B,3,pmcid:PMC3049086,Social learning and the development of individual and group behaviour in mammal societies.,pending
Castor canadensis,B,4,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending
Castor canadensis,B,5,pmcid:PMC5566806,A second inheritance system: the extension of biology through culture.,pending
Castor canadensis,B,6,pmid:26353397,[Possible evolutionary mechanisms of 'culture' in animals: The hypothesis of distributed social learning].,pending
Castor canadensis,B,7,pmcid:PMC5303232,The evolution of social learning mechanisms and cultural phenomena in group foragers.,pending
Castor canadensis,B,8,pmid:15125208,[Social learning in animals: comparative analysis of different forms and levels].,pending
Castor canadensis,C,1,pmid:24415179,"Castor sacs and anal glands of the north american beaver (Castor canadensis): their histology, development, and relationship to scent communication.",pending
Castor canadensis,C,2,pmid:9641998,Beaver response to recurrent alien scents: scent fence or scent match?,pending
Castor canadensis,C,3,pmid:24271891,"Experimental habitat scenting inhibits colonization by beaver,Castor canadensis.",pending
Castor canadensis,C,4,pmid:24258917,"Pheromonal activity of single castoreum constituents in beaver,Castor canadensis.",pending
Castor canadensis,C,5,pmid:24249178,"Phenolic compounds from male castoreum of the North American beaver,Castor canadensis.",pending
Castor canadensis,C,6,pmid:24233827,"Neutral compounds from male castoreum of North American beaver,Castor canadensis.",pending
Castor canadensis,C,7,pmid:11789953,Odorant source used in Eurasian beaver territory marking.,pending
Castor canadensis,C,8,pmid:24241977,Beaver (Castor canadensis) responses to major phenolic and neutral compounds in castoreum.,pending
Castor canadensis,D,1,pmcid:PMC7403313,Evolution of woodcutting behaviour in Early Pliocene beaver driven by consumption of woody plants.,pending
Castor canadensis,D,2,pmcid:PMC12069018,Can Central Place Foraging Theory Predict Material Collection Behaviours of the Eurasian Beaver (Castor fiber)?,pending
Castor canadensis,D,3,pmcid:PMC6193987,Metagenomics reveals functional synergy and novel polysaccharide utilization loci in the Castor canadensis fecal microbiome.,pending
Castor canadensis,D,4,pmid:36603731,Microstructurally driven self-sharpening mechanism in beaver incisor enamel facilitates their capacity to fell trees.,pending
Castor canadensis,D,5,pmid:17318623,Tool-use in a display behaviour by Eurasian beavers (Castor fiber).,pending
Castor canadensis,D,6,pmcid:PMC13406939,Biomimicry at the Landscape Scale: Agent-Based Model Simulating Beaver-Inspired Construction.,pending
Castor canadensis,D,7,pmid:17796868,Early Postglacial Beavers in Southeastern New England.,pending
Castor canadensis,D,8,pmid:28310707,Nitrogen budget of a subarctic stream altered by beaver (Castor canadensis).,pending
Castor canadensis,F,1,pmid:15458206,"[Population-genetic structure of beaver (Castor fiber L., 1758) communities and estimation of effective reproductive size Ne of an elementary population].",pending
Castor canadensis,F,2,pmcid:PMC10591148,Ecology and social behavior of the social vole Microtus socialis: A generalized review.,pending
Castor canadensis,F,3,pmid:990911,"Some morphological, physiological and behavioral specializations in North American beavers (Castor canadensis).",pending
Castor canadensis,F,4,pmcid:PMC7771123,Landscape structure and population density affect intraspecific aggression in beavers.,pending
Castor canadensis,F,5,pmid:28311700,Structure and function of a benthic invertebrate stream community as influenced by beaver (Castor canadensis).,pending
Castor canadensis,F,6,pmid:9641998,Beaver response to recurrent alien scents: scent fence or scent match?,pending
Castor canadensis,F,7,pmid:13943608,[The claustrum of the Canadian beaver (Castor canadensis Kuhl)-structure and comparative anatomy].,pending
Castor canadensis,F,8,pmcid:PMC4630256,Socio-ecological features other than sex affect habitat selection in the socially obligate monogamous Eurasian beaver.,pending
Enhydra lutris,A,1,pmid:35900682,"Equivalence classification, learning by exclusion, and long-term memory in pinnipeds: cognitive mechanisms demonstrated through research with subjects under human care and in the field.",pending
Enhydra lutris,A,2,pmcid:PMC5579113,Social learning in otters.,pending
Enhydra lutris,A,3,pmcid:PMC4027413,Tool use by aquatic animals.,pending
Enhydra lutris,A,4,pmcid:PMC7082303,"Behavioral flexibility: A review, a model, and some exploratory tests.",pending
Enhydra lutris,A,5,pmid:6057244,Underwater vision of the sea otter.,pending
Enhydra lutris,A,6,pmcid:PMC5640742,Cooperative problem solving in giant otters (Pteronura brasiliensis) and Asian small-clawed otters (Aonyx cinerea).,pending
Enhydra lutris,A,7,pmcid:PMC9174724,Captive Asian short-clawed otters (Aonyx cinereus) learn to exploit unfamiliar natural prey.,pending
Enhydra lutris,A,8,pmcid:PMC6418163,Wild sea otter mussel pounding leaves archaeological traces.,pending
Enhydra lutris,B,1,pmcid:PMC5579113,Social learning in otters.,pending
Enhydra lutris,B,2,pmid:38753790,Tool use increases mechanical foraging success and tooth health in southern sea otters (Enhydra lutris nereis).,pending
Enhydra lutris,B,3,pmcid:PMC6418163,Wild sea otter mussel pounding leaves archaeological traces.,pending
Enhydra lutris,B,4,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending
Enhydra lutris,B,5,pmcid:PMC6685002,Multi-network-based diffusion analysis reveals vertical cultural transmission of sponge tool use within dolphin matrilines.,pending
Enhydra lutris,B,6,pmid:4744932,Maternal behavior in the California sea otter.,pending
Enhydra lutris,B,7,pmcid:PMC7735368,Learning strategies and long-term memory in Asian short-clawed otters (Aonyx cinereus).,pending
Enhydra lutris,B,8,pmcid:PMC3049086,Social learning and the development of individual and group behaviour in mammal societies.,pending
Enhydra lutris,C,1,pmid:22278472,Sound production and reception in southern sea otters (Enhydra lutris nereis).,pending
Enhydra lutris,C,2,pmid:25249386,Hearing in the sea otter (Enhydra lutris): auditory profiles for an amphibious marine carnivore.,pending
Enhydra lutris,C,3,pmid:26233050,Vocal classification of vocalizations of a pair of Asian small-clawed otters to determine stress.,pending
Enhydra lutris,C,4,pmid:26610978,Auditory Sensitivity and Masking Profiles for the Sea Otter (Enhydra lutris).,pending
Enhydra lutris,C,5,pmid:23397263,Social partner discrimination based on sounds and scents in Asian small-clawed otters (Aonyx cinereus).,pending
Enhydra lutris,C,6,pmid:25373985,Vocal repertoire of the social giant otter.,pending
Enhydra lutris,C,7,pmcid:PMC4229255,The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis).,pending
Enhydra lutris,C,8,pmid:28111787,"The flehmen response and pseudosuckling in a captive, juvenile Southern sea otter (Enhydra lutris nereis).",pending
Enhydra lutris,E,1,pmcid:PMC6418163,Wild sea otter mussel pounding leaves archaeological traces.,pending
Enhydra lutris,E,2,pmid:38753790,Tool use increases mechanical foraging success and tooth health in southern sea otters (Enhydra lutris nereis).,pending
Enhydra lutris,E,3,pmcid:PMC9016008,Archaeological and Contemporary Evidence Indicates Low Sea Otter Prevalence on the Pacific Northwest Coast During the Late Holocene.,pending
Enhydra lutris,E,4,pmid:5891597,Tool-using behaviour of the Californian sea otter.,pending
Enhydra lutris,E,5,pmcid:PMC7739945,Archaeological mitogenomes illuminate the historical ecology of sea otters (Enhydra lutris) and the viability of reintroduction.,pending
Enhydra lutris,E,6,pmcid:PMC7141068,Reductions in the dietary niche of southern sea otters (Enhydra lutris nereis) from the Holocene to the Anthropocene.,pending
Enhydra lutris,E,7,pmcid:PMC11775623,Forecasting sea otter recolonization: insights from isotopic analysis of modern and zooarchaeological populations.,pending
Enhydra lutris,E,8,pmcid:PMC3663835,Sea otters homogenize mussel beds and reduce habitat provisioning in a rocky intertidal ecosystem.,pending
Enhydra lutris,F,1,pmcid:PMC5579113,Social learning in otters.,pending
Enhydra lutris,F,2,pmid:22414160,Structure and mechanism of diet specialisation: testing models of individual variation in resource use with sea otters.,pending
Enhydra lutris,F,3,pmid:28111787,"The flehmen response and pseudosuckling in a captive, juvenile Southern sea otter (Enhydra lutris nereis).",pending
Enhydra lutris,F,4,pmid:4744932,Maternal behavior in the California sea otter.,pending
Enhydra lutris,F,5,pmid:25669450,The cost of reproduction: differential resource specialization in female and male California sea otters.,pending
Enhydra lutris,F,6,pmcid:PMC2206575,Food limitation leads to behavioral diversification and dietary specialization in sea otters.,pending
Enhydra lutris,F,7,pmid:37428701,HISTOLOGIC ANALYSIS OF TESTICULAR DEVELOPMENT AND SEXUAL MATURATION IN REHABILITATED NORTHERN SEA OTTERS (ENHYDRA LUTRIS KENYONI).,pending
Enhydra lutris,F,8,pmcid:PMC7980363,Behavioral responses across a mosaic of ecosystem states restructure a sea otter-urchin trophic cascade.,pending
Heterocephalus glaber,A,1,pmid:34453668,Memory enhances problem solving in the fawn-footed mosaic-tailed rat Melomys cervinipes.,pending
Heterocephalus glaber,A,2,pmid:33510025,Cultural transmission of vocal dialect in the naked mole-rat.,pending
Heterocephalus glaber,A,3,pmid:3256107,"Experimental infection of the naked mole-rat, Heterocephalus glaber, with Leishmania donovani.",pending
Heterocephalus glaber,A,4,pmid:22570181,Influence of spatial environment on maze learning in an African mole-rat.,pending
Heterocephalus glaber,A,5,pmcid:PMC6789728,The Naked Mole-Rat: An Unusual Organism with an Unexpected Latent Potential for Increased Intelligence?,pending
Heterocephalus glaber,A,6,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Heterocephalus glaber,A,7,pmid:4460764,[Rudimentary prehallux in heterocephalus glaber].,pending
Heterocephalus glaber,A,8,pmid:18824187,Spatial learning and memory in African mole-rats: the role of sociality and sex.,pending
Heterocephalus glaber,D,1,pmcid:PMC122833,Somatosensory cortex dominated by the representation of teeth in the naked mole-rat brain.,pending
Heterocephalus glaber,D,2,pmid:39139064,"Can you dig it? The impact of a movable substrate ""dig pit"" on naked mole rat (Heterocephalus glaber) behavior and welfare.",pending
Heterocephalus glaber,D,3,pmcid:PMC3831171,Cutaneous and periodontal inputs to the cerebellum of the naked mole-rat (Heterocephalus glaber).,pending
Heterocephalus glaber,D,4,pmcid:PMC3434143,A distinct role of the queen in coordinated workload and soil distribution in eusocial naked mole-rats.,pending
Heterocephalus glaber,D,5,doi:10.1101/2021.03.22.436002,Naked mole-rats (Heterocephalus glaber) do not specialise on cooperative tasks,pending
Heterocephalus glaber,D,6,pmcid:PMC6904307,The Better to Eat You With: Bite Force in the Naked Mole-Rat (Heterocephalus glaber) Is Stronger Than Predicted Based on Body Size.,pending
Heterocephalus glaber,D,7,pmid:7241605,The digging behavior and skin differentiations in Heterocephalus glaber.,pending
Heterocephalus glaber,D,8,pmcid:PMC7531346,The relationship between individual phenotype and the division of labour in naked mole-rats: it's complicated.,pending
Heterocephalus glaber,E,1,pmid:39139064,"Can you dig it? The impact of a movable substrate ""dig pit"" on naked mole rat (Heterocephalus glaber) behavior and welfare.",pending
Heterocephalus glaber,E,2,pmcid:PMC3434143,A distinct role of the queen in coordinated workload and soil distribution in eusocial naked mole-rats.,pending
Heterocephalus glaber,E,3,pmid:7241605,The digging behavior and skin differentiations in Heterocephalus glaber.,pending
Heterocephalus glaber,E,4,pmcid:PMC4081180,"Digital dissection of the masticatory muscles of the naked mole-rat, Heterocephalus glaber (Mammalia, Rodentia).",pending
Heterocephalus glaber,E,5,pmcid:PMC12268170,Metabolic expenditure of submaximal locomotion in naked mole-rats (Heterocephalus glaber) and Damaraland mole-rats (Fukomys damarensis).,pending
Heterocephalus glaber,E,6,pmcid:PMC9536831,Housing and Husbandry Alternatives for Naked Mole Rat Colonies Used in Research Settings.,pending
Heterocephalus glaber,E,7,doi:10.1101/2021.03.22.436002,Naked mole-rats (Heterocephalus glaber) do not specialise on cooperative tasks,pending
Heterocephalus glaber,E,8,pmid:30612678,"Thermal biology of a strictly subterranean mammalian family, the African mole-rats (Bathyergidae, Rodentia) - a review.",pending
