scenario,sampling,n_taxa,observed_cells,total_cells,coverage,true_model,recovery_rate,median_winner_margin_rmse,coverage_A,coverage_B,coverage_C,coverage_D,coverage_E,coverage_F,coverage_G,coverage_H,coverage_I,coverage_J
pilot9_plus_B_complete,fixed_mask_random_latent,79,393,790,0.49746835443037973,threshold,0.2925,0.004926454450506233,16,79,25,17,16,31,60,55,53,41
pilot9_plus_C_complete,fixed_mask_random_latent,79,386,790,0.48860759493670886,additive,0.95,0.006814238717081242,16,18,79,17,16,31,60,55,53,41
pilot9_plus_C_complete,fixed_mask_random_latent,79,386,790,0.48860759493670886,weakest,0.4925,0.002623849274358804,16,18,79,17,16,31,60,55,53,41
pilot9_plus_C_complete,fixed_mask_random_latent,79,386,790,0.48860759493670886,threshold,0.31,0.004193328610396799,16,18,79,17,16,31,60,55,53,41
pilot9_plus_D_complete,fixed_mask_random_latent,79,394,790,0.49873417721518987,additive,0.9475,0.008095259446982729,16,18,25,79,16,31,60,55,53,41
pilot9_plus_D_complete,fixed_mask_random_latent,79,394,790,0.49873417721518987,weakest,0.4825,0.0026476537929692526,16,18,25,79,16,31,60,55,53,41
pilot9_plus_D_complete,fixed_mask_random_latent,79,394,790,0.49873417721518987,threshold,0.31,0.004840541867764406,16,18,25,79,16,31,60,55,53,41
pilot9_plus_E_complete,fixed_mask_random_latent,79,395,790,0.5,additive,0.925,0.007309172255206463,16,18,25,17,79,31,60,55,53,41
pilot9_plus_E_complete,fixed_mask_random_latent,79,395,790,0.5,weakest,0.4575,0.002639189156696413,16,18,25,17,79,31,60,55,53,41
pilot9_plus_E_complete,fixed_mask_random_latent,79,395,790,0.5,threshold,0.2675,0.005153889088405111,16,18,25,17,79,31,60,55,53,41
pilot9_plus_F_complete,fixed_mask_random_latent,79,380,790,0.4810126582278481,additive,0.9325,0.006701110685269469,16,18,25,17,16,79,60,55,53,41
pilot9_plus_F_complete,fixed_mask_random_latent,79,380,790,0.4810126582278481,weakest,0.5125,0.002449342607280615,16,18,25,17,16,79,60,55,53,41
pilot9_plus_F_complete,fixed_mask_random_latent,79,380,790,0.4810126582278481,threshold,0.285,0.004388188595828901,16,18,25,17,16,79,60,55,53,41
pilot9_plus_ABE_complete,fixed_mask_random_latent,79,519,790,0.6569620253164556,additive,0.9825,0.01162695986077035,79,79,25,17,79,31,60,55,53,41
pilot9_plus_ABE_complete,fixed_mask_random_latent,79,519,790,0.6569620253164556,weakest,0.6525,0.0030742720650817,79,79,25,17,79,31,60,55,53,41
pilot9_plus_ABE_complete,fixed_mask_random_latent,79,519,790,0.6569620253164556,threshold,0.3725,0.0071774109641735764,79,79,25,17,79,31,60,55,53,41
pilot9_plus_CDF_complete,fixed_mask_random_latent,79,496,790,0.6278481012658228,additive,0.9725,0.01060443814848646,16,18,79,79,16,79,60,55,53,41
pilot9_plus_CDF_complete,fixed_mask_random_latent,79,496,790,0.6278481012658228,weakest,0.5675,0.0035377564064141623,16,18,79,79,16,79,60,55,53,41
pilot9_plus_CDF_complete,fixed_mask_random_latent,79,496,790,0.6278481012658228,threshold,0.355,0.006501027451627506,16,18,79,79,16,79,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,additive,0.995,0.013853646864699871,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,weakest,0.515,0.0032511389791242476,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,threshold,0.3525,0.006866058699723954,54,61,58,57,57,59,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,additive,1.0,0.01637617993748413,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,weakest,0.75,0.004921229750333836,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,threshold,0.5275,0.00904024592131785,79,79,79,79,79,79,60,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,additive,0.9975,0.016713967180366236,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,weakest,0.72,0.004965948325152597,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,threshold,0.57,0.009334696650702197,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_H,fixed_mask_random_latent,79,707,790,0.8949367088607595,additive,0.9975,0.017311731670554158,79,79,79,79,79,79,60,79,53,41
tier1_AF_plus_H,fixed_mask_random_latent,79,707,790,0.8949367088607595,weakest,0.715,0.004770397094027261,79,79,79,79,79,79,60,79,53,41
tier1_AF_plus_H,fixed_mask_random_latent,79,707,790,0.8949367088607595,threshold,0.5525,0.008683706936659707,79,79,79,79,79,79,60,79,53,41
tier1_AF_plus_I,fixed_mask_random_latent,79,709,790,0.8974683544303798,additive,1.0,0.016965500459807256,79,79,79,79,79,79,60,55,79,41
tier1_AF_plus_I,fixed_mask_random_latent,79,709,790,0.8974683544303798,weakest,0.73,0.0040808002525906245,79,79,79,79,79,79,60,55,79,41
tier1_AF_plus_I,fixed_mask_random_latent,79,709,790,0.8974683544303798,threshold,0.585,0.009708539717878883,79,79,79,79,79,79,60,55,79,41
tier1_AF_plus_J,fixed_mask_random_latent,79,721,790,0.9126582278481012,additive,1.0,0.017077313221003657,79,79,79,79,79,79,60,55,53,79
tier1_AF_plus_J,fixed_mask_random_latent,79,721,790,0.9126582278481012,weakest,0.81,0.005189518529231746,79,79,79,79,79,79,60,55,53,79
tier1_AF_plus_J,fixed_mask_random_latent,79,721,790,0.9126582278481012,threshold,0.595,0.010158240033860268,79,79,79,79,79,79,60,55,53,79
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,79,752,790,0.9518987341772152,additive,1.0,0.017469710272596903,79,79,79,79,79,79,79,79,79,41
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,79,752,790,0.9518987341772152,weakest,0.815,0.005214178488536794,79,79,79,79,79,79,79,79,79,41
tier1_AF_GHI_Jempirical,fixed_mask_random_latent,79,752,790,0.9518987341772152,threshold,0.7125,0.012466408928302128,79,79,79,79,79,79,79,79,79,41
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,79,764,790,0.9670886075949368,additive,0.9975,0.01833995856497185,79,79,79,79,79,79,79,79,53,79
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,79,764,790,0.9670886075949368,weakest,0.82,0.0050778106300105735,79,79,79,79,79,79,79,79,53,79
tier1_AF_GHJ_Iempirical,fixed_mask_random_latent,79,764,790,0.9670886075949368,threshold,0.685,0.011152436627260343,79,79,79,79,79,79,79,79,53,79
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,79,766,790,0.9696202531645569,additive,1.0,0.017935566094300318,79,79,79,79,79,79,79,55,79,79
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,79,766,790,0.9696202531645569,weakest,0.7875,0.005002391327146312,79,79,79,79,79,79,79,55,79,79
tier1_AF_GIJ_Hempirical,fixed_mask_random_latent,79,766,790,0.9696202531645569,threshold,0.6925,0.013160724681570202,79,79,79,79,79,79,79,55,79,79
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,79,771,790,0.9759493670886076,additive,1.0,0.01743070536835746,79,79,79,79,79,79,60,79,79,79
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,79,771,790,0.9759493670886076,weakest,0.775,0.005065067488341755,79,79,79,79,79,79,60,79,79,79
tier1_AF_HIJ_Gempirical,fixed_mask_random_latent,79,771,790,0.9759493670886076,threshold,0.7075,0.011449621305346852,79,79,79,79,79,79,60,79,79,79
tier1_complete79,fixed_mask_random_latent,79,790,790,1.0,additive,1.0,0.01842594152213798,79,79,79,79,79,79,79,79,79,79
tier1_complete79,fixed_mask_random_latent,79,790,790,1.0,weakest,0.83,0.005757613610220806,79,79,79,79,79,79,79,79,79,79
tier1_complete79,fixed_mask_random_latent,79,790,790,1.0,threshold,0.7725,0.014939465087562574,79,79,79,79,79,79,79,79,79,79
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,79,790,790,1.0,additive,1.0,0.03253205186440611,79,79,79,79,79,79,79,79,79,79
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,79,790,790,1.0,weakest,1.0,0.023138405699015728,79,79,79,79,79,79,79,79,79,79
tier1_complete79_oracle_geometry,latent_signature_oracle_upper_bound,79,790,790,1.0,threshold,0.89,0.02190880567505575,79,79,79,79,79,79,79,79,79,79
