Species,pref model,Max Age,N(1),N(A10),A10,aJ,a0,b,A,Omegatilde
Hippotragus equinus,M4,17,81,9,15,0.33 (± 0.0467),0.08 (± 0.0166),0.08 (± 0.0268),1 (± 0.11),0 (± 0.49)
Hippotragus niger,M1,22,97,8,18.9,0.31 (± 0.0398),0.07 (± 0.0124),0.16 (± 0.0416),1.05 (± 0.12),7.63 (± 2.18)
Alcelaphus buselaphus,M4,16,35,5,15.3,0.4 (± 0.0735),0.06 (± 0.0195),0.12 (± 0.0416),1 (± 0.0722),0 (± 1.47)
Connochaetes gnou,M1,20,48,5,19.4,0.28 (± 0.0445),0.06 (± 0.0131),0.19 (± 0.0529),0.91 (± 0.082),8.82 (± 1.4)
Connochaetes taurinus,M4,16,69,6,14.6,0.34 (± 0.0491),0.06 (± 0.0152),0.13 (± 0.0313),1 (± 0.0722),0 (± 1.25)
Damaliscus lunatus,M1,35,749,74,26.6,0.24 (± 0.0145),0.05 (± 0.003),0.09 (± 0.0085),1.31 (± 0.0657),10.28 (± 1.02)
Ammotragus lervia,M1,21,137,12,15.7,0.65 (± 0.0438),0.09 (± 0.0107),0.15 (± 0.0315),0.5 (± 0.0248),7.11 (± 1.02)
Ovis aries,M2,22,470,41,16.5,0.35 (± 0.0191),0.06 (± 0.0062),0.09 (± 0.0103),1.14 (± 0.0555),0 (± 0.0785)
Ovis canadensis,M4,20,247,25,16.2,0.35 (± 0.0284),0.06 (± 0.0076),0.09 (± 0.0139),1 (± 0.0379),0 (± 0.65)
Ovis dalli,M2,19,258,21,15.6,0.39 (± 0.0249),0.05 (± 0.0076),0.12 (± 0.0161),1.12 (± 0.06),0 (± 0.0848)
Capra caucasica,M4,18,49,6,14.3,0.41 (± 0.0587),0.09 (± 0.0236),0.08 (± 0.0384),1 (± 0.0531),0 (± 0.54)
Capra falconeri,M4,19,90,11,13.1,0.43 (± 0.0432),0.14 (± 0.0228),0.02 (± 0.048),1 (± 0.098),0 (± 0.51)
Capra hircus,M4,19,64,5,17.1,0.38 (± 0.0491),0.04 (± 0.0108),0.12 (± 0.0263),1 (± 0.13),0 (± 1)
Capra ibex,M2,21,290,24,16.8,0.25 (± 0.0242),0.06 (± 0.0076),0.1 (± 0.0134),1.15 (± 0.1),0 (± 0.15)
Capra nubiana,M4,19,56,7,16.4,0.39 (± 0.0555),0.06 (± 0.0154),0.1 (± 0.0311),1 (± 0.0807),0 (± 0.98)
Hemitragus jemlahicus,M4,24,380,27,18,0.29 (± 0.0216),0.05 (± 0.0053),0.09 (± 0.01),1 (± 0.04),0 (± 1.07)
Rupicapra rupicapra,M1,17,121,8,16,0.32 (± 0.0276),0.08 (± 0.0102),0.25 (± 0.0526),0.95 (± 0.0451),7.11 (± 1.18)
Oreamnos americanus,M4,20,155,8,16.3,0.25 (± 0.0317),0.05 (± 0.0077),0.13 (± 0.0181),1 (± 0.1),0 (± 0.88)
Aepyceros melampus,M1,19,593,49,15.7,0.37 (± 0.0168),0.07 (± 0.0068),0.15 (± 0.0136),1.11 (± 0.0447),3.41 (± 0.83)
Antidorcas marsupialis,M4,18,156,11,12,0.37 (± 0.0324),0.11 (± 0.0154),0.09 (± 0.0229),1 (± 0.13),0 (± 0.4)
Antilope cervicapra,M4,21,231,25,13.9,0.43 (± 0.0266),0.07 (± 0.0093),0.11 (± 0.0161),1 (± 0.1),0 (± 1.1)
Gazella saudiya,M1,21,156,8,16.6,0.34 (± 0.0323),0.09 (± 0.0103),0.3 (± 0.0639),1.11 (± 0.11),9.38 (± 0.91)
Gazella leptoceros,M2,14,136,8,12.4,0.34 (± 0.0366),0.07 (± 0.0137),0.18 (± 0.0314),1.29 (± 0.13),0 (± 0.19)
Gazella subgutturosa,M1,15,409,37,11.1,0.4 (± 0.0203),0.17 (± 0.0118),0.11 (± 0.0305),1.08 (± 0.1),4.82 (± 0.97)
Gazella dorcas,M4,18,130,13,13.1,0.25 (± 0.0351),0.13 (± 0.0193),0.05 (± 0.0284),1 (± 0.11),0 (± 0.91)
Gazella gazella,M1,15,190,19,12.3,0.4 (± 0.0403),0.16 (± 0.0133),0.24 (± 0.0952),0.59 (± 0.0278),8.24 (± 1.11)
Gazella spekei,M4,14,52,7,11.5,0.35 (± 0.0585),0.14 (± 0.0334),0.07 (± 0.0586),1 (± 0.0484),0 (± 0.88)
Gazella dama,M4,16,85,9,11.9,0.46 (± 0.0421),0.13 (± 0.0231),0.06 (± 0.0334),1 (± 0.0599),0 (± 0.78)
Gazella granti,M4,23,68,8,16.7,0.37 (± 0.0525),0.06 (± 0.0157),0.08 (± 0.027),1 (± 0.0728),0 (± 0.77)
Saiga tatarica,M4,10,87,8,8.7,0.3 (± 0.0449),0.17 (± 0.0331),0.13 (± 0.0506),1 (± 0.0989),0 (± 1.48)
Kobus ellipsiprymnus,M1,24,425,27,21,0.29 (± 0.0203),0.06 (± 0.0044),0.16 (± 0.0177),1.02 (± 0.0594),9.62 (± 0.77)
Kobus leche,M2,27,328,27,18.9,0.27 (± 0.0218),0.06 (± 0.0066),0.07 (± 0.0103),1.11 (± 0.0812),0 (± 0.11)
Kobus kob,M2,18,77,7,16.4,0.44 (± 0.0452),0.04 (± 0.0111),0.14 (± 0.0291),1.17 (± 0.0966),0 (± 0.14)
Madoqua kirkii,M4,17,46,6,13.1,0.35 (± 0.0626),0.11 (± 0.0296),0.06 (± 0.0502),1 (± 0.13),0 (± 1.31)
Bison bison,M1,31,699,57,23.9,0.2 (± 0.0135),0.06 (± 0.0034),0.11 (± 0.0092),1.09 (± 0.0726),8.94 (± 0.76)
Bos frontalis,M4,24,121,12,19.9,0.26 (± 0.0385),0.04 (± 0.0084),0.09 (± 0.0165),1 (± 0.0873),0 (± 0.4)
Bos javanicus,M1,24,113,11,20.6,0.33 (± 0.0404),0.07 (± 0.0091),0.16 (± 0.0384),1.02 (± 0.1),10.85 (± 1.36)
Syncerus caffer,M1,28,174,13,25.6,0.25 (± 0.0315),0.04 (± 0.005),0.14 (± 0.0176),1.19 (± 0.11),10.2 (± 1.21)
Boselaphus tragocamelus,M4,20,146,16,16.9,0.35 (± 0.034),0.04 (± 0.0077),0.12 (± 0.0178),1 (± 0.0794),0 (± 0.58)
Tragelaphus strepsiceros,M4,22,660,61,16,0.34 (± 0.0161),0.06 (± 0.0045),0.11 (± 0.0083),1 (± 0.1),0 (± 0.51)
Tragelaphus angasii,M2,23,100,7,17.3,0.33 (± 0.0416),0.07 (± 0.014),0.07 (± 0.0229),1.36 (± 0.16),0 (± 0.23)
Tragelaphus eurycerus,M4,22,79,6,20.8,0.17 (± 0.0418),0.03 (± 0.0078),0.12 (± 0.0213),1 (± 0.0954),0 (± 0.96)
Tragelaphus imberbis,M4,19,55,6,15.7,0.4 (± 0.0557),0.07 (± 0.0188),0.08 (± 0.0316),1 (± 0.11),0 (± 1.38)
Alces alces,M4,17,132,9,13.1,0.31 (± 0.0355),0.09 (± 0.0145),0.1 (± 0.0233),1 (± 0.11),0 (± 1.18)
Capreolus capreolus,M4,14,101,13,10.9,0.46 (± 0.0375),0.13 (± 0.0226),0.08 (± 0.0347),1 (± 0.11),0 (± 0.35)
Mazama americana,M4,17,36,5,13.7,0.34 (± 0.0722),0.12 (± 0.0339),0.05 (± 0.0657),1 (± 0.0935),0 (± 0.63)
Odocoileus hemionus,M1,16,103,11,12.7,0.45 (± 0.0304),0.14 (± 0.0166),0.16 (± 0.0569),0.99 (± 0.0341),6.58 (± 1.04)
Odocoileus virginianus,M2,23,330,26,16.4,0.31 (± 0.0225),0.08 (± 0.0089),0.07 (± 0.013),1.42 (± 0.1),0 (± 0.15)
Rangifer tarandus,M4,20,131,11,16.4,0.38 (± 0.0367),0.05 (± 0.0085),0.12 (± 0.0185),1 (± 0.12),0 (± 0.47)
Axis axis,M1,19,146,12,17.2,0.45 (± 0.0233),0.09 (± 0.0093),0.3 (± 0.0761),0.98 (± 0.0296),10.98 (± 1.01)
Cervus duvaucelii,M2,24,347,22,19,0.26 (± 0.0216),0.05 (± 0.0059),0.09 (± 0.0105),1.23 (± 0.0869),0 (± 0.12)
Cervus elaphus,M1,25,382,30,17.6,0.43 (± 0.0246),0.08 (± 0.0062),0.11 (± 0.0144),0.56 (± 0.0223),5.8 (± 1.19)
Cervus canadensis,M1,26,478,42,20.8,0.28 (± 0.0188),0.06 (± 0.005),0.12 (± 0.0134),1.07 (± 0.0613),6.54 (± 1.24)
Cervus eldii,M1,20,316,24,18.6,0.35 (± 0.0163),0.07 (± 0.0056),0.22 (± 0.0281),0.97 (± 0.0272),9.12 (± 0.74)
Cervus nippon,M2,25,774,77,18.7,0.27 (± 0.0146),0.06 (± 0.0041),0.08 (± 0.0069),1.12 (± 0.0534),0 (± 0.0755)
Elaphurus davidianus,M4,22,71,8,20.1,0.21 (± 0.0466),0.03 (± 0.0084),0.12 (± 0.0218),1 (± 0.11),0 (± 0.51)
Dama dama,M1,27,828,61,17.4,0.21 (± 0.0131),0.08 (± 0.0058),0.08 (± 0.0079),1.08 (± 0.0889),2.82 (± 0.89)
Muntiacus reevesi,M4,23,63,6,15.1,0.38 (± 0.0517),0.1 (± 0.0236),0.04 (± 0.0374),1 (± 0.0884),0 (± 0.92)
Antilocapra americana,M4,17,230,20,11.1,0.44 (± 0.0267),0.14 (± 0.015),0.06 (± 0.0187),1 (± 0.0974),0 (± 0.56)
Giraffa camelopardalis,M4,26,89,9,22.6,0.28 (± 0.0439),0.04 (± 0.0086),0.08 (± 0.0175),1 (± 0.051),0 (± 1.5)
Tragulus javanicus,M4,14,60,5,10.9,0.29 (± 0.0565),0.13 (± 0.0337),0.1 (± 0.054),1 (± 0.0914),0 (± 1.42)
Hippopotamus amphibius,M2,61,66,6,49.7,0.35 (± 0.0528),0.01 (± 0.0023),0.06 (± 0.009),1.11 (± 0.0778),0 (± 0.11)
Sus scrofa,M1,19,260,40,14.9,0.54 (± 0.021),0.09 (± 0.0094),0.15 (± 0.0261),1.15 (± 0.0576),6.38 (± 1.01)
Phacochoerus africanus,M1,30,63,6,26,0.21 (± 0.0502),0.05 (± 0.0094),0.17 (± 0.0444),1.26 (± 0.26),13.3 (± 2.13)
Pecari tajacu,M4,25,180,18,19.4,0.29 (± 0.0305),0.05 (± 0.0073),0.08 (± 0.0134),1 (± 0.0774),0 (± 0.56)
Equus caballus,M4,36,121,9,31.2,0.11 (± 0.0293),0.02 (± 0.0034),0.09 (± 0.0104),1 (± 0.13),0 (± 1.18)
Zalophus californianus,M1,31,216,18,26.5,0.41 (± 0.0268),0.04 (± 0.0092),0.15 (± 0.0712),1.32 (± 0.0768),13.45 (± 6.05)
Phoca vitulina,M4,31,54,7,25.7,0.37 (± 0.0588),0.04 (± 0.0099),0.06 (± 0.0178),1 (± 0.11),0 (± 0.84)
Ursus maritimus,M1,38,166,21,32.8,0.39 (± 0.0312),0.02 (± 0.0035),0.11 (± 0.0127),1.19 (± 0.0644),11.72 (± 1.61)
Canis lupus,M2,20,192,11,15.5,0.38 (± 0.0293),0.05 (± 0.0087),0.12 (± 0.0183),1.13 (± 0.0707),0 (± 0.0999)
Lycaon pictus,M2,17,436,12,13.5,0.38 (± 0.0208),0.04 (± 0.0047),0.21 (± 0.016),1.05 (± 0.0365),0 (± 0.0516)
Panthera leo,M1,28,1247,98,21.3,0.39 (± 0.0119),0.05 (± 0.0025),0.15 (± 0.0079),1.19 (± 0.0291),7.67 (± 0.51)
Lynx lynx,M1,26,175,11,22.8,0.3 (± 0.0308),0.03 (± 0.0054),0.19 (± 0.022),1.06 (± 0.0694),8.38 (± 1.28)
Lynx rufus,M4,22,42,5,17.7,0.43 (± 0.0638),0.05 (± 0.0154),0.1 (± 0.0336),1 (± 0.13),0 (± 1.43)
Puma concolor,M1,27,357,19,21.5,0.37 (± 0.0212),0.03 (± 0.0054),0.18 (± 0.0169),1.07 (± 0.0421),6.64 (± 1.49)
Acinonyx jubatus,M2,18,725,25,16.3,0.25 (± 0.0149),0.03 (± 0.0027),0.19 (± 0.0102),1.13 (± 0.0428),0 (± 0.0606)
Helogale parvula,M4,20,109,10,16.7,0.2 (± 0.0369),0.05 (± 0.0093),0.13 (± 0.0227),1 (± 0.11),0 (± 0.96)
Trichosurus vulpecula,M5,12,55,6,9.9,1 (± 0.0297),0.11 (± 0.0258),0.14 (± 0.0489),0 (± 0.0772),0 (± 0.87)
Macropus agilis,M3,13,182,13,10.4,0 (± 0.0323),0.17 (± 0.0137),0.15 (± 0.0417),0 (± 0.0523),4.52 (± 0.71)
