feasibility_id,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,target_title_current,target_title_has_status_marker,issue_family,issue_description,ground_truth_tier,required_artifact_role,content_detectability,adjudication_evidence_url,adjudication_notes,detector_visible,manager_only
F012,10.1556/084.2016.17.1.5,10.1556/084.2017.18.1.10,correction,2017-06-01,publisher,Correction,Errata,Formulaicity in and across film dialogue: Clefts as translational routines,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F013,10.1123/jpah.2015-0702,10.1123/jpah.2017-0254,retraction,2017-05-01,retraction-watch,Retraction,"Withdrawal: Van Kann, de Vries Schipperijn et al (2017)",A Multicomponent Schoolyard Intervention Targeting Children’s Recess Physical Activity and Sedentary Behavior: Effects After One Year,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F014,10.1016/j.ygcen.2017.09.006,10.1016/j.ygcen.2017.09.006,retraction,2017-12-01,publisher,Retraction,RETRACTED: Testosterone promotes anxiolytic-like behavior in gonadectomized male rats via blockade of the 5-HT1A receptors,RETRACTED: Testosterone promotes anxiolytic-like behavior in gonadectomized male rats via blockade of the 5-HT1A receptors,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F015,10.1016/j.apjtm.2015.11.006,10.1016/j.apjtm.2017.06.015,retraction,2017-07-28,retraction-watch,Retraction,Retraction notice to: Effect of transplantation of BMMSCs on pathological change of gastric precancerous lesions of rats [Asian Pac J Trop Med 8(12) (2015) 1060–1063],RETRACTED: Effect of transplantation of BMMSCs on pathological change of gastric precancerous lesions of rats,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F016,10.1074/jbc.m910060199,10.1074/jbc.a117.910060,retraction,2017-04-27,retraction-watch,Retraction,"ERK1b, a 46-kDa ERK isoform that is differentially regulated by MEK.","ERK1b, a 46-kDa ERK Isoform That Is Differentially Regulated by MEK",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F017,10.1049/iet-rpg.2017.0351,10.1049/iet-rpg.2018.5568,correction,2018-09-20,publisher,Correction,Corrigendum: Comparison of stability service cost in power grids considering different types of WTs,Comparison of stability service cost in power grids considering different types of WTs,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F018,10.1136/bmj.k913,10.1136/bmj.k1083,correction,2018-03-06,publisher,Correction,Correction,Eighteen doctors were struck off for sexual assault or rape in past four years,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F019,10.1007/s11695-018-3163-6,10.1007/s11695-018-3202-3,correction,2018-03-16,publisher,Correction,Correction to: Which Bariatric Procedure Is the Most Popular in the World? A Bibliometric Comparison,Which Bariatric Procedure Is the Most Popular in the World? A Bibliometric Comparison,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F020,10.1038/s41579-018-0048-6,10.1038/s41579-018-0060-x,correction,2018-07-18,publisher,Correction,"Author Correction: Multidrug efflux pumps: structure, function and regulation","Multidrug efflux pumps: structure, function and regulation",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F021,10.1190/geo2017-0028.1,10.1190/geo2018-0614-retraction.1,retraction,2018-07-13,publisher,Retraction,"<b>To: “On vertical resolution of seismic acquisition geometries in complex 3D media,”</b>
                    Jun Su, Li-Yun Fu, Wei Wei, Weijia Sun, and Junhua Hu, G
                    <scp>eophysics</scp>
                    ,
                    <b>82</b>
                    , no. 6, P75–P87, doi: 10.1190/geo2017-0028.1.",On vertical resolution of seismic acquisition geometries in complex 3D media,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F022,10.1093/carcin/bgy036,10.1093/carcin/bgy036,retraction,2019-04-29,retraction-watch,Retraction,"Retraction: A005, a novel inhibitor of phosphatidylinositol 3-kinase/mammalian target of rapamycin, prevents osteosarcoma-induced osteolysis","Retraction: A005, a novel inhibitor of phosphatidylinositol 3-kinase/mammalian target of rapamycin, prevents osteosarcoma-induced osteolysis",True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F023,10.3758/s13423-017-1319-3,10.3758/s13423-018-1505-y,retraction,2018-07-17,retraction-watch,Retraction,Retraction Note: Unexpected events disrupt visuomotor working memory and increase guessing,RETRACTED ARTICLE: Unexpected events disrupt visuomotor working memory and increase guessing,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F024,10.3758/s13423-017-1319-3,10.3758/s13423-018-1505-y,retraction,2018-07-17,publisher,Retraction,Retraction Note: Unexpected events disrupt visuomotor working memory and increase guessing,RETRACTED ARTICLE: Unexpected events disrupt visuomotor working memory and increase guessing,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F025,10.1007/s12237-017-0258-6,10.1007/s12237-018-00497-8,correction,2019-01-07,publisher,Correction,"Correction to: Impact of Armored Shorelines on Shore-Zone Fish Density in a Mid-Atlantic, USA, Estuary: Modulation by Hypoxia and Temperature","Impact of Armored Shorelines on Shore-Zone Fish Density in a Mid-Atlantic, USA, Estuary: Modulation by Hypoxia and Temperature",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F026,10.1007/s13304-014-0251-6,10.1007/s13304-019-00638-z,correction,2019-05-08,retraction-watch,Correction,Retraction Note to: Contrast-enhanced ultrasound appearances of enhancement patterns of intrahepatic cholangiocarcinoma: correlation with pathological findings,RETRACTED ARTICLE: Contrast-enhanced ultrasound appearances of enhancement patterns of intrahepatic cholangiocarcinoma: correlation with pathological findings,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F027,10.1038/s41409-019-0649-3,10.1038/s41409-019-0767-y,correction,2019-12-10,publisher,Correction,Correction to: Acute respiratory failure and the kinetics of neutrophil recovery in pediatric hematopoietic cell transplantation: a multicenter study,Acute respiratory failure and the kinetics of neutrophil recovery in pediatric hematopoietic cell transplantation: a multicenter study,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F028,10.1158/2159-8290.cd-17-0228,10.1158/2159-8290.cd-18-1516,correction,2019-02-08,publisher,Correction,Correction: Neoadjuvant Trials in ER+ Breast Cancer: A Tool for Acceleration of Drug Development and Discovery,Neoadjuvant Trials in ER+ Breast Cancer: A Tool for Acceleration of Drug Development and Discovery,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F029,10.3390/app8112184,10.3390/app9040633,retraction,2019-02-14,retraction-watch,Retraction,"RETRACTED: Rezig et al. Using Data Mining Methods for Predicting Sequential Maintenance Activities. Appl. Sci. 2018, 8, 2184",RETRACTED: Using Data Mining Methods for Predicting Sequential Maintenance Activities,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F030,10.3390/ijgi8010039,10.3390/ijgi8090402,retraction,2019-09-11,retraction-watch,Retraction,"RETRACTED: Li et al. Identifying Asphalt Pavement Distress Using UAV LiDAR Point Cloud Data and Random Forest Classification. ISPRS Int. J. Geo-Inf. 2019, 8, 39",RETRACTED: Identifying Asphalt Pavement Distress Using UAV LiDAR Point Cloud Data and Random Forest Classification,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F031,10.1016/j.drugpo.2018.11.009,10.1016/j.drugpo.2018.11.009,retraction,2019-01-15,publisher,Retraction,WITHDRAWN: CALL FOR PAPERS SPECIAL ISSUE: The risk environment in rural areas,WITHDRAWN: CALL FOR PAPERS SPECIAL ISSUE: The risk environment in rural areas,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F032,10.1159/000085681,10.1159/000500102,retraction,2019-05-24,retraction-watch,Retraction,Retraction Statement,Effects of Vitamin K2 Administration on Calcium Balance and Bone Mass in Young Rats Fed Normal or Low Calcium Diet,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F033,10.1038/s41419-019-2106-z,10.1038/s41419-019-2220-y,correction,2020-01-14,publisher,Correction,Correction: Autoantibodies to synapsin I sequestrate synapsin I and alter synaptic function,Autoantibodies to synapsin I sequestrate synapsin I and alter synaptic function,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F034,10.1212/wnl.0000000000009919,10.1212/wnl.0000000000010883,correction,2020-09-16,publisher,Correction,Nusinersen in SMA 2 and 3,Nusinersen in SMA 2 and 3,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F035,10.1007/s10198-019-01144-0,10.1007/s10198-020-01210-y,correction,2020-07-01,publisher,Correction,Correction to: Defensive medicine in Europe: a ‘full circle’?,Defensive medicine in Europe: a ‘full circle’?,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F036,10.1007/s10750-020-04418-4,10.1007/s10750-020-04485-7,correction,2020-12-22,publisher,Correction,"Correction to: The intertidal mudflats of Barr Al Hikman, Sultanate of Oman, as feeding, reproduction and nursery grounds for brachyuran crabs","The intertidal mudflats of Barr Al Hikman, Sultanate of Oman, as feeding, reproduction and nursery grounds for brachyuran crabs",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F037,10.1016/j.ijhydene.2020.05.261,10.1016/j.ijhydene.2020.05.261,retraction,2020-08-21,publisher,Retraction,RETRACTED: Designing a miniaturized photoacoustic sensor for detecting hydrogen gas,RETRACTED: Designing a miniaturized photoacoustic sensor for detecting hydrogen gas,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F038,10.1016/j.chemosphere.2020.127653,10.1016/j.chemosphere.2020.127653,retraction,2020-07-11,publisher,Retraction,"WITHDRAWN: Abundance and characteristics of microplastics in the Bellingshausen Sea, Antarctica, are distinguished by the Southern Antarctic Circumpolar Current Front","WITHDRAWN: Abundance and characteristics of microplastics in the Bellingshausen Sea, Antarctica, are distinguished by the Southern Antarctic Circumpolar Current Front",True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F039,10.1142/s0217751x20501341,10.1142/s0217751x2093001x,retraction,2020-10-02,retraction-watch,Retraction,Notice of Retraction “U(1) gauged model of FJ-type chiral boson based on Batalin–Fradkin–Vilkovisky formalism”,U(1) gauged model of FJ-type chiral boson based on Batalin–Fradkin–Vilkovisky formalism,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F040,10.1016/j.physb.2020.412002,10.1016/j.physb.2020.412002,retraction,2020-01-08,publisher,Retraction,WITHDRAWN: Assessment of ionizing radiation attenuation features of zirconolite silicate glasses using XCOM and FLUKA simulation code,WITHDRAWN: Assessment of ionizing radiation attenuation features of zirconolite silicate glasses using XCOM and FLUKA simulation code,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F041,10.1038/s41598-021-92676-0,10.1038/s41598-021-94669-5,correction,2021-07-21,publisher,Correction,Author Correction: The use of N-acetylcysteine in the prevention of hangover: a randomized trial,The use of N-acetylcysteine in the prevention of hangover: a randomized trial,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F042,10.1038/s41440-020-00571-4,10.1038/s41440-021-00622-4,correction,2021-02-08,publisher,Correction,Correction: Accuracy of the FMF Bayes theorem-based model for predicting preeclampsia at 11–13 weeks of gestation in a Japanese population,Accuracy of the FMF Bayes theorem-based model for predicting preeclampsia at 11–13 weeks of gestation in a Japanese population,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F043,10.1007/s10851-020-01015-x,10.1007/s10851-021-01028-0,correction,2021-04-07,publisher,Correction,Correction to: Non-congruent non-degenerate curves with identical signatures,Non-congruent non-degenerate curves with identical signatures,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F044,10.1038/s41598-020-75103-8,10.1038/s41598-021-83230-z,correction,2021-02-08,publisher,Correction,Author Correction: A nanocomposite hydrogel with catalytic properties for trace-element detection in real-world samples,A nanocomposite hydrogel with catalytic properties for trace-element detection in real-world samples,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F045,10.1088/1757-899x/1145/1/012055,10.1088/1757-899x/1145/1/012174,retraction,2022-02-23,retraction-watch,Retraction,"Retraction: Synthesis, identification and study of mesomorphic properties of compounds containing two C2H2N2O rings (IOP Conf. Ser.: Mater. Sci. Eng.
                  1145 012055)","Synthesis, identification and study of mesomorphic properties of compounds containing two C2H2N2O rings",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F046,10.4102/jamba.v11i1.725,10.4102/jamba.v13i1.1036,retraction,2021-03-10,retraction-watch,Retraction,"Retraction notice to: ‘Monitoring droughts in Eswatini: A spatiotemporal variability analysis using the Standard Precipitation Index’, Jàmbá: Journal of Disaster Risk Studies 11(1), a725",Monitoring droughts in Eswatini: A spatiotemporal variability analysis using the Standard Precipitation Index,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F047,10.1007/s12517-021-06789-x,10.1007/s12517-021-09025-8,retraction,2021-11-23,retraction-watch,Retraction,Retraction Note to: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,RETRACTED ARTICLE: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F048,10.1007/s12517-021-06789-x,10.1007/s12517-021-09025-8,retraction,2021-11-23,publisher,Retraction,Retraction Note to: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,RETRACTED ARTICLE: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F049,10.1111/ced.14339,10.1111/ced.15282,correction,2022-07-08,publisher,Correction,Corrigendum,Teriflunomide-induced drug reaction with eosinophilia and systemic symptoms (DRESS) syndrome,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F050,10.1002/smtd.202100938,10.1002/smtd.202200739,correction,2022-07-01,publisher,Correction,Isolation and Genomic Analysis of Single Circulating Tumor Cell Using Human Telomerase Reverse Transcriptase and Desmoglein‐2,Isolation and Genomic Analysis of Single Circulating Tumor Cell Using Human Telomerase Reverse Transcriptase and Desmoglein‐2,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F051,10.1080/00914037.2015.1055631,10.1080/00914037.2022.2060646,correction,2022-04-07,publisher,Correction,Correction,Surface-initiated RAFT polymerization of p (MA POSS-<i>co</i>-DMAEMA<sup>+</sup>) brushes on PDMS for improving antiadhesive and antibacterial properties,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F052,10.1007/s00266-022-02778-x,10.1007/s00266-022-02831-9,correction,2022-03-14,publisher,Correction,Correction: Clinical Efficacy Analysis of Augmentation Mammoplasty with Cell-Assisted Autologous Fat Transplantation,Clinical Efficacy Analysis of Augmentation Mammoplasty with Cell-Assisted Autologous Fat Transplantation,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F053,10.1016/j.cplett.2022.139863,10.1016/j.cplett.2022.139863,retraction,2022-09-16,publisher,Retraction,RETRACTED: A FRET-based dual fluorescent probe with nitrogen doped carbon dots as the energy donor for selective detection of Fe3+,RETRACTED: A FRET-based dual fluorescent probe with nitrogen doped carbon dots as the energy donor for selective detection of Fe3+,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F054,10.1158/0008-5472.can-08-2780,10.1158/0008-5472.can-22-2399,retraction,2022-09-16,retraction-watch,Retraction,Retraction: CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F055,10.1158/0008-5472.can-08-2780,10.1158/0008-5472.can-22-2399,retraction,2022-09-16,publisher,Retraction,Retraction: CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F056,10.1007/s11046-004-1820-x,10.1007/s11046-022-00641-w,retraction,2022-05-26,retraction-watch,Retraction,Retraction Note to: Epidemiology and molecular typing of Candida isolates from burn patients,RETRACTED ARTICLE: Epidemiology and molecular typing of Candida isolates from burn patients,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F057,10.1080/10447318.2022.2143027,10.1080/10447318.2023.2170002,correction,2023-01-17,publisher,Correction,Correction,Factors Associated with Intention of Sustainable Use in Players of the Wii Fit or Smartphone-Based Fitness Applications,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F058,10.1097/jdn.0000000000000750,10.1097/jdn.0000000000000762,correction,2023-09-01,publisher,Correction,Tips and Tricks: Erratum,Tips and Tricks,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F059,10.1007/s00170-023-12215-1,10.1007/s00170-023-12362-5,correction,2023-09-28,publisher,Correction,Correction to: Influence of the material manufacturing process on micromilling Ti6Al4V alloy,Influence of the material manufacturing process on micromilling Ti6Al4V alloy,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F060,10.1038/s41598-023-47880-5,10.1038/s41598-023-50297-9,correction,2023-12-21,publisher,Correction,Author Correction: An investigation on humans’ sensitivity to environmental temperature,An investigation on humans’ sensitivity to environmental temperature,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F061,10.1080/24701556.2020.1799398,10.1080/24701556.2024.2327709,retraction,2024-04-01,publisher,Retraction,Statement of Retraction: Zn(II) and Co(II)-based coordination polymers: anesthesia effect by regulating animal blood pressure in hip replacement operation,RETRACTED ARTICLE: Zn(II) and Co(II)-based coordination polymers: anesthesia effect by regulating animal blood pressure in hip replacement operation,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F062,10.1155/2022/2084276,10.1155/2023/9768716,retraction,2023-10-04,retraction-watch,Retraction,Retracted: Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F063,10.1155/2022/2084276,10.1155/2023/9768716,retraction,2023-10-04,publisher,Retraction,Retracted: Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F064,10.1155/2022/3053694,10.1155/2023/9783091,retraction,2023-07-26,retraction-watch,Retraction,Retracted: Study of the Effectiveness of 5G Mobile Internet Technology to Promote the Reform of English Teaching in the Universities and Colleges,Study of the Effectiveness of 5G Mobile Internet Technology to Promote the Reform of English Teaching in the Universities and Colleges,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F065,10.1186/s12939-024-02229-w,10.1186/s12939-024-02330-0,correction,2024-11-15,publisher,Correction,Correction: Making health inequality analysis accessible: WHO tools and resources using Microsoft Excel,Making health inequality analysis accessible: WHO tools and resources using Microsoft Excel,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F066,10.1186/s12967-022-03317-7,10.1186/s12967-024-05632-7,correction,2024-09-13,publisher,Correction,Correction to: Lenvatinib inhibits the growth of gastric cancer patient‑derived xenografts generated from a heterogeneous populations,Lenvatinib inhibits the growth of gastric cancer patient-derived xenografts generated from a heterogeneous population,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F067,10.1088/1475-7516/2023/09/044,10.1088/1475-7516/2024/02/e01,correction,2024-02-22,publisher,Correction,Erratum: New method to revisit the gravitational lensing analysis of the Bullet Cluster using radio waves,New method to revisit the gravitational lensing analysis of the Bullet Cluster using radio waves,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F068,10.1007/s12013-024-01403-9,10.1007/s12013-024-01490-8,correction,2024-08-28,publisher,Correction,"Correction: In Silico Investigation against Inhibitors of Alpha-Amylase Using Structure-based Screening, Molecular Docking, and Molecular Simulations Studies","In Silico Investigation against Inhibitors of Alpha-Amylase Using Structure-based Screening, Molecular Docking, and Molecular Simulations Studies",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F069,10.1016/j.energy.2021.120910,10.1016/j.energy.2024.130381,retraction,2024-01-23,retraction-watch,Retraction,Retraction notice to “Analysis of the performance of the multi-objective hybrid hydropower-photovoltaic-wind system to reduce variance and maximum power generation by developed owl search algorithm” [Energy 231 (2021) 120910],RETRACTED: Analysis of the performance of the multi-objective hybrid hydropower-photovoltaic-wind system to reduce variance and maximum power generation by developed owl search algorithm,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
