record_id,stratum,query_family,rank_in_stratum,stable_id,title,year,domain,coder_id,coding_round,source_verified,screen_stage1,opposition_valid,opposition_rationale,x_construct,opposite_construct,actor_switch,level_switch,time_switch,construct_switch,environment_switch,feedback,nonlinearity,selection_filtering,power_asymmetry,primary_mechanism,study_design,evidence_mode,evidence_tier,causal_claim_strength,result_support,mediator,moderator,boundary_conditions,counterevidence,oci_candidate,exclusion_reason,notes
P11,information_attention,less-is-more ecological rationality,1,10.1111/j.1756-8765.2008.01006.x,Homo Heuristicus: Why Biased Minds Make Better Inferences,2009,cognitive science,A,feasibility-1,publisher/indexed,yes,yes,using less information/computation can improve predictive accuracy under specified environments,amount of information/complexity used,prediction error / decision performance,,,,,yes,,yes,yes,,ecological rationality/bias-variance,theoretical review with empirical examples,review/conceptual,NA-review,conditional,conditional_support,,,environment structure and cue validity,,yes,,
P12,information_attention,deliberate ignorance,2,10.1177/1745691616635594,Homo Ignorans: Deliberately Choosing Not to Know,2016,psychology,A,feasibility-1,publisher/indexed,yes,uncertain,reviews functional reasons for not knowing but ignorance does not necessarily cause improved performance or power,deliberate ignorance,varied functional/affective outcomes,,,,,,,,yes,,deliberate ignorance,review/theory,review,NA-review,heterogeneous,mixed,,,,,uncertain,requires outcome-specific causal coding,
P13,information_attention,social dynamics information avoidance,3,10.1016/j.jesp.2026.104917,Does ignorance love company? The social dynamics of information avoidance,2026,social psychology,A,feasibility-1,ScienceDirect,yes,no,findings mainly show information sharing increases awareness/prosocial choice and avoidance can undermine prosociality,information avoidance,prosocial choice/awareness,yes,,,,,,,,,counterevidence/social norms,four studies including interactive experiment,empirical,E4/E2,moderate-high for experimental components,counterevidence_to_ignorance_strength,,,,,no,negative control for generalized ignorance benefit,
P14,information_attention,rational inattention,4,10.1016/S0304-3932(03)00029-1,Implications of Rational Inattention,2003,economics,A,feasibility-1,journal/indexed,yes,uncertain,limited processing can make selective attention rational but does not by itself establish ignorance causing strength,information-processing capacity/attention,decision allocation/performance,,,,,,,yes,yes,,capacity-constrained optimization,formal economic model,formal,NA-formal,formal,mechanism_support,,,finite information-processing capacity,,uncertain,,
P15,information_attention,public information social welfare,5,10.1257/000282802762024610,Social Value of Public Information,2002,economics,A,feasibility-1,AEA,yes,yes,more public information can reduce social welfare under coordination/private-information conditions,precision/amount of public information,lower social welfare,,yes,,,,yes,,,,coordination externality,formal economic model,formal,NA-formal,formal/conditional,conditional_support,,private information and coordination motive,not a general anti-information result,,yes,,
P16,backfire_iatrogenic,descriptive norms boomerang field experiment,1,10.1111/j.1467-9280.2007.01917.x,"The Constructive, Destructive, and Reconstructive Power of Social Norms",2007,social psychology,A,feasibility-1,publisher+PubMed,yes,yes,energy-conservation message can increase energy use among already low-use households,descriptive normative conservation message,increase rather than decrease in energy use,,,,,yes,yes,,,,boomerang/norm feedback,field experiment,empirical,E4,high,support,,baseline consumption; injunctive cue,boomerang among low-use households; injunctive message eliminated it,,yes,,
P17,backfire_iatrogenic,descriptive norms boomerang systematic review,2,10.1186/s13643-020-01533-0,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,2020,behavior change,A,feasibility-1,Springer+PubMed,yes,yes,protocol directly defines regression to undesirable behavior after norm messaging as boomerang,descriptive-norm intervention,undesirable target behavior,,,,,yes,,,,,boomerang effect,systematic review protocol,protocol,NA-protocol,not yet evidential,not_tested,,,,,yes,,useful taxonomy source; not outcome evidence
P18,backfire_iatrogenic,iatrogenic psychosocial intervention,3,10.1111/j.1360-0443.2005.01073.x,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",2005,clinical psychology/addiction,A,feasibility-1,PubMed,yes,yes,treatment/prevention intended to improve substance-use outcomes can be followed by deterioration or increased use in subgroups,psychosocial treatment/prevention,worsened substance-use outcomes,,,yes,,yes,,,,,iatrogenic intervention effect,review,review,NA-review,mixed; review warns deterioration not always attributable causally,conditional_support,,patient/intervention characteristics,,review explicitly distinguishes deterioration from demonstrated treatment causation,yes,,
P19,backfire_iatrogenic,psychological treatments cause harm,4,PMID:26151919,Psychological Treatments That Cause Harm,2007,clinical psychology,A,feasibility-1,PubMed,yes,yes,therapeutic intervention can worsen the condition it intends to improve,psychological treatment,clinical deterioration/harm,,,yes,,,,,,,iatrogenic treatment,critical review,review,NA-review,heterogeneous,conditional_support,,,,,yes,,
P20,backfire_iatrogenic,normative alcohol feedback boomerang test,5,10.1037/a0036402,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,2014,addiction psychology,A,feasibility-1,PubMed+OpenAlex,yes,yes,directly tests whether a drinking-reduction intervention increases drinking among lighter drinkers,personalized normative feedback,increased drinking among lighter drinkers,,,,,yes,,,,,hypothesized boomerang,secondary analyses of four randomized intervention samples,empirical,E4,high for tested intervention contrasts,counterevidence,,,,no evidence of boomerang in any of four samples,yes,,
P21,economic_network_rebound,Jevons paradox energy backfire,1,10.1016/j.enpol.2008.12.003,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,2009,energy economics,A,feasibility-1,ScienceDirect,yes,yes,efficiency intended to reduce resource use may under full backfire increase total energy use,energy efficiency,higher total energy consumption,,yes,,,,yes,,,,rebound/Jevons,critical evidence review,review,NA-review,conditional,mixed/weak_for_full_backfire,,,full Jevons backfire difficult to test; evidence not conclusive,,yes,,
P22,economic_network_rebound,cross-disciplinary rebound review,2,10.1111/ijmr.70027,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,2026,management/environment,A,feasibility-1,Wiley,yes,yes,resource/financial efficiency strategies can trigger rebound that offsets intended environmental benefit,efficiency/win-win intervention,offset or reversal of environmental improvement,,yes,yes,,,yes,,,,rebound effect,systematic/review mapping,review,E5-review,heterogeneous,conditional_support,,,rebound magnitude ranges from partial offset to possible backfire,,yes,,
P23,economic_network_rebound,Braess paradox conditions,3,10.1016/S0191-2615(96)00024-0,Braess' paradox: Some new insights,1997,transportation science,A,feasibility-1,ScienceDirect,yes,yes,adding network capacity/link can increase total system travel time,network capacity/new link,higher rather than lower travel cost,,yes,,,,yes,yes,,,selfish-routing equilibrium,formal network analysis,formal,NA-formal,formal/conditional,conditional_support,,travel demand and congestion function parameters,,,yes,,
P24,economic_network_rebound,traffic paradox systematic review,4,10.1016/j.trb.2023.102832,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),2023,transportation science,A,feasibility-1,ScienceDirect,yes,yes,reviews formal and applied cases where network additions can raise travel cost,transport network improvement/capacity,worse system travel cost/performance,,yes,,,,yes,,,,traffic equilibrium paradox,systematic literature review,systematic_review,E5-review,heterogeneous,support_for_family_existence,,,,,yes,,
P25,economic_network_rebound,safe development paradox systematic review,5,10.1007/s11069-024-06774-z,Safe development paradox: evidence and methodological insights from a systematic review,2024,natural hazards/risk,A,feasibility-1,Springer,yes,yes,protective risk-reduction infrastructure can increase long-run exposure/risk via development and perceived safety,structural hazard protection/risk reduction,higher long-run exposure/risk,,yes,yes,,,yes,,,,safe-development/levee feedback,systematic review,systematic_review,E5-review,heterogeneous,conditional_support,development/false sense of safety,,,,yes,,
P26,organization_measurement,organizational paradox theory,1,10.5465/amr.2009.0223,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,2011,organization science,A,feasibility-1,Academy of Management,yes,uncertain,framework concerns contradictory interdependent demands but does not require X causally producing its functional opposite,organizational paradoxical demands,varied tensions,,,,,,yes,,,,dynamic paradox management,theory/review,conceptual,NA-conceptual,theoretical,not_tested_as_OCI,,,,,no,umbrella competitor; contradiction/interdependence is broader than directional causal inversion,
P27,organization_measurement,strategic paradox dynamic decision making,2,10.5465/amj.2011.0932,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,2014,organization science,A,feasibility-1,Academy of Management,yes,uncertain,exploration/exploitation tensions are opposing demands but paper focuses on management of both rather than one causing its opposite,strategic paradox management,exploration/exploitation tensions,,,,,,yes,,,,dynamic decision making,qualitative comparative field study,empirical,E2,mechanistic,not_tested_as_OCI,,,,,no,paradox management rather than opposite-producing causal relation,
P28,organization_measurement,Goodhart academic metrics,3,10.1093/gigascience/giz053,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,2019,scientometrics,A,feasibility-1,Oxford Academic+PubMed,yes,yes,optimizing a measure as target can reduce the measure's validity/usefulness,optimization/incentivization of citation-based metrics,reduced metric validity as measure of impact,,,yes,yes,,yes,,,,Goodhart target feedback,large-scale observational analysis >120M papers,empirical,E1/E2,associational/mechanistic,support,behavioral adaptation to metric targets,,causal attribution weaker than randomized/quasi-experimental designs,,yes,,
P29,organization_measurement,core capabilities core rigidities,4,10.1002/smj.4250131009,Core capabilities and core rigidities: A paradox in managing new product development,1992,strategic management,A,feasibility-1,Wiley,yes,yes,organizational strengths/capabilities can become rigidities constraining innovation under changed task/environment demands,core capability,core rigidity/constraint,,,yes,,yes,,,,,capability-rigidity transition,organizational conceptual/empirical analysis,conceptual/empirical,E1/E2,mechanistic,support,,,new product/process development and environmental fit,,yes,,
P30,organization_measurement,counterfinality umbrella competitor,5,10.3389/fpsyg.2018.01052,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,2018,social psychology,A,feasibility-1,Frontiers+PMC,yes,no,a means harming an alternative goal increases perceived instrumentality for a focal goal; outcome is not the functional opposite of the exposure under the strict OCI definition,detrimentality to alternative goal,perceived instrumentality for focal goal,,,,yes,,,,,,counterfinality,five studies including experiments,empirical,E4/E1,moderate-high for experimental studies,support_for_neighboring_theory,,importance of focal and alternative goals,,,no,closest umbrella competitor but not strict opposite-producing relation,
