feasibility_id,calendar_stratum,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,source_work_date,target_title_current,target_title_has_status_marker,target_published,target_year,target_journal,target_type,issue_family_codes,ground_truth_tier,required_artifact_roles,content_detectability,adjudication_state,adjudication_notes
F014,2017,10.1016/j.ygcen.2017.09.006,10.1016/j.ygcen.2017.09.006,retraction,2017-12-01,publisher,Retraction,RETRACTED: Testosterone promotes anxiolytic-like behavior in gonadectomized male rats via blockade of the 5-HT1A receptors,2017-12-01,RETRACTED: Testosterone promotes anxiolytic-like behavior in gonadectomized male rats via blockade of the 5-HT1A receptors,True,2017-12-01,2017,General and Comparative Endocrinology,journal-article,,,,,UNASSESSED,
F015,2017,10.1016/j.apjtm.2015.11.006,10.1016/j.apjtm.2017.06.015,retraction,2017-07-28,retraction-watch,Retraction,Retraction notice to: Effect of transplantation of BMMSCs on pathological change of gastric precancerous lesions of rats [Asian Pac J Trop Med 8(12) (2015) 1060–1063],2017-06-01,RETRACTED: Effect of transplantation of BMMSCs on pathological change of gastric precancerous lesions of rats,True,2015-12-01,2015,Asian Pacific Journal of Tropical Medicine,journal-article,,,,,UNASSESSED,
F016,2017,10.1074/jbc.m910060199,10.1074/jbc.a117.910060,retraction,2017-04-27,retraction-watch,Retraction,"ERK1b, a 46-kDa ERK isoform that is differentially regulated by MEK.",2017-05-01,"ERK1b, a 46-kDa ERK Isoform That Is Differentially Regulated by MEK",False,2000-05-01,2000,Journal of Biological Chemistry,journal-article,,,,,UNASSESSED,
F017,2018,10.1049/iet-rpg.2017.0351,10.1049/iet-rpg.2018.5568,correction,2018-09-20,publisher,Correction,Corrigendum: Comparison of stability service cost in power grids considering different types of WTs,2018-09-20,Comparison of stability service cost in power grids considering different types of WTs,False,2018-03-22,2018,IET Renewable Power Generation,journal-article,,,,,UNASSESSED,
F018,2018,10.1136/bmj.k913,10.1136/bmj.k1083,correction,2018-03-06,publisher,Correction,Correction,2018-03-06,Eighteen doctors were struck off for sexual assault or rape in past four years,False,2018-02-23,2018,BMJ,journal-article,,,,,UNASSESSED,
F019,2018,10.1007/s11695-018-3163-6,10.1007/s11695-018-3202-3,correction,2018-03-16,publisher,Correction,Correction to: Which Bariatric Procedure Is the Most Popular in the World? A Bibliometric Comparison,2018-03-16,Which Bariatric Procedure Is the Most Popular in the World? A Bibliometric Comparison,False,2018-03-06,2018,Obesity Surgery,journal-article,,,,,UNASSESSED,
F020,2018,10.1038/s41579-018-0048-6,10.1038/s41579-018-0060-x,correction,2018-07-18,publisher,Correction,"Author Correction: Multidrug efflux pumps: structure, function and regulation",2018-07-18,"Multidrug efflux pumps: structure, function and regulation",False,2018-07-12,2018,Nature Reviews Microbiology,journal-article,,,,,UNASSESSED,
F021,2018,10.1190/geo2017-0028.1,10.1190/geo2018-0614-retraction.1,retraction,2018-07-13,publisher,Retraction,"<b>To: “On vertical resolution of seismic acquisition geometries in complex 3D media,”</b>
                    Jun Su, Li-Yun Fu, Wei Wei, Weijia Sun, and Junhua Hu, G
                    <scp>eophysics</scp>
                    ,
                    <b>82</b>
                    , no. 6, P75–P87, doi: 10.1190/geo2017-0028.1.",2018-07-13,On vertical resolution of seismic acquisition geometries in complex 3D media,False,2017-08-21,2017,Geophysics,journal-article,,,,,UNASSESSED,
F022,2018,10.1093/carcin/bgy036,10.1093/carcin/bgy036,retraction,2019-04-29,retraction-watch,Retraction,"Retraction: A005, a novel inhibitor of phosphatidylinositol 3-kinase/mammalian target of rapamycin, prevents osteosarcoma-induced osteolysis",2018-04-04,"Retraction: A005, a novel inhibitor of phosphatidylinositol 3-kinase/mammalian target of rapamycin, prevents osteosarcoma-induced osteolysis",True,2018-04-04,2018,Carcinogenesis,journal-article,,,,,UNASSESSED,
F023,2018,10.3758/s13423-017-1319-3,10.3758/s13423-018-1505-y,retraction,2018-07-17,retraction-watch,Retraction,Retraction Note: Unexpected events disrupt visuomotor working memory and increase guessing,2018-07-17,RETRACTED ARTICLE: Unexpected events disrupt visuomotor working memory and increase guessing,True,2017-06-02,2017,Psychonomic Bulletin &amp; Review,journal-article,,,,,UNASSESSED,
F024,2018,10.3758/s13423-017-1319-3,10.3758/s13423-018-1505-y,retraction,2018-07-17,publisher,Retraction,Retraction Note: Unexpected events disrupt visuomotor working memory and increase guessing,2018-07-17,RETRACTED ARTICLE: Unexpected events disrupt visuomotor working memory and increase guessing,True,2017-06-02,2017,Psychonomic Bulletin &amp; Review,journal-article,,,,,UNASSESSED,
F025,2019,10.1007/s12237-017-0258-6,10.1007/s12237-018-00497-8,correction,2019-01-07,publisher,Correction,"Correction to: Impact of Armored Shorelines on Shore-Zone Fish Density in a Mid-Atlantic, USA, Estuary: Modulation by Hypoxia and Temperature",2019-01-07,"Impact of Armored Shorelines on Shore-Zone Fish Density in a Mid-Atlantic, USA, Estuary: Modulation by Hypoxia and Temperature",False,2017-05-23,2017,Estuaries and Coasts,journal-article,,,,,UNASSESSED,
F026,2019,10.1007/s13304-014-0251-6,10.1007/s13304-019-00638-z,correction,2019-05-08,retraction-watch,Correction,Retraction Note to: Contrast-enhanced ultrasound appearances of enhancement patterns of intrahepatic cholangiocarcinoma: correlation with pathological findings,2019-05-08,RETRACTED ARTICLE: Contrast-enhanced ultrasound appearances of enhancement patterns of intrahepatic cholangiocarcinoma: correlation with pathological findings,True,2014-05-07,2014,Updates in Surgery,journal-article,,,,,UNASSESSED,
F027,2019,10.1038/s41409-019-0649-3,10.1038/s41409-019-0767-y,correction,2019-12-10,publisher,Correction,Correction to: Acute respiratory failure and the kinetics of neutrophil recovery in pediatric hematopoietic cell transplantation: a multicenter study,2019-12-10,Acute respiratory failure and the kinetics of neutrophil recovery in pediatric hematopoietic cell transplantation: a multicenter study,False,2019-09-16,2019,Bone Marrow Transplantation,journal-article,,,,,UNASSESSED,
F028,2019,10.1158/2159-8290.cd-17-0228,10.1158/2159-8290.cd-18-1516,correction,2019-02-08,publisher,Correction,Correction: Neoadjuvant Trials in ER+ Breast Cancer: A Tool for Acceleration of Drug Development and Discovery,2019-02-08,Neoadjuvant Trials in ER+ Breast Cancer: A Tool for Acceleration of Drug Development and Discovery,False,2017-06-01,2017,Cancer Discovery,journal-article,,,,,UNASSESSED,
F029,2019,10.3390/app8112184,10.3390/app9040633,retraction,2019-02-14,retraction-watch,Retraction,"RETRACTED: Rezig et al. Using Data Mining Methods for Predicting Sequential Maintenance Activities. Appl. Sci. 2018, 8, 2184",2019-02-14,RETRACTED: Using Data Mining Methods for Predicting Sequential Maintenance Activities,True,2018-11-07,2018,Applied Sciences,journal-article,,,,,UNASSESSED,
F030,2019,10.3390/ijgi8010039,10.3390/ijgi8090402,retraction,2019-09-11,retraction-watch,Retraction,"RETRACTED: Li et al. Identifying Asphalt Pavement Distress Using UAV LiDAR Point Cloud Data and Random Forest Classification. ISPRS Int. J. Geo-Inf. 2019, 8, 39",2019-09-11,RETRACTED: Identifying Asphalt Pavement Distress Using UAV LiDAR Point Cloud Data and Random Forest Classification,True,2019-01-16,2019,ISPRS International Journal of Geo-Information,journal-article,,,,,UNASSESSED,
F031,2019,10.1016/j.drugpo.2018.11.009,10.1016/j.drugpo.2018.11.009,retraction,2019-01-15,publisher,Retraction,WITHDRAWN: CALL FOR PAPERS SPECIAL ISSUE: The risk environment in rural areas,2019-01-01,WITHDRAWN: CALL FOR PAPERS SPECIAL ISSUE: The risk environment in rural areas,True,2019-01-01,2019,International Journal of Drug Policy,journal-article,,,,,UNASSESSED,
F032,2019,10.1159/000085681,10.1159/000500102,retraction,2019-05-24,retraction-watch,Retraction,Retraction Statement,2019-05-24,Effects of Vitamin K2 Administration on Calcium Balance and Bone Mass in Young Rats Fed Normal or Low Calcium Diet,False,2005-07-19,2005,Hormone Research in Paediatrics,journal-article,,,,,UNASSESSED,
F033,2020,10.1038/s41419-019-2106-z,10.1038/s41419-019-2220-y,correction,2020-01-14,publisher,Correction,Correction: Autoantibodies to synapsin I sequestrate synapsin I and alter synaptic function,2020-01-14,Autoantibodies to synapsin I sequestrate synapsin I and alter synaptic function,False,2019-11-14,2019,Cell Death &amp; Disease,journal-article,,,,,UNASSESSED,
F034,2020,10.1212/wnl.0000000000009919,10.1212/wnl.0000000000010883,correction,2020-09-16,publisher,Correction,Nusinersen in SMA 2 and 3,2020-11-24,Nusinersen in SMA 2 and 3,False,2020-07-28,2020,Neurology,journal-article,,,,,UNASSESSED,
F035,2020,10.1007/s10198-019-01144-0,10.1007/s10198-020-01210-y,correction,2020-07-01,publisher,Correction,Correction to: Defensive medicine in Europe: a ‘full circle’?,2020-07-01,Defensive medicine in Europe: a ‘full circle’?,False,2019-12-26,2019,The European Journal of Health Economics,journal-article,,,,,UNASSESSED,
F036,2020,10.1007/s10750-020-04418-4,10.1007/s10750-020-04485-7,correction,2020-12-22,publisher,Correction,"Correction to: The intertidal mudflats of Barr Al Hikman, Sultanate of Oman, as feeding, reproduction and nursery grounds for brachyuran crabs",2020-12-22,"The intertidal mudflats of Barr Al Hikman, Sultanate of Oman, as feeding, reproduction and nursery grounds for brachyuran crabs",False,2020-10-06,2020,Hydrobiologia,journal-article,,,,,UNASSESSED,
F037,2020,10.1016/j.ijhydene.2020.05.261,10.1016/j.ijhydene.2020.05.261,retraction,2020-08-21,publisher,Retraction,RETRACTED: Designing a miniaturized photoacoustic sensor for detecting hydrogen gas,2020-08-01,RETRACTED: Designing a miniaturized photoacoustic sensor for detecting hydrogen gas,True,2020-08-01,2020,International Journal of Hydrogen Energy,journal-article,,,,,UNASSESSED,
F038,2020,10.1016/j.chemosphere.2020.127653,10.1016/j.chemosphere.2020.127653,retraction,2020-07-11,publisher,Retraction,"WITHDRAWN: Abundance and characteristics of microplastics in the Bellingshausen Sea, Antarctica, are distinguished by the Southern Antarctic Circumpolar Current Front",2020-07-01,"WITHDRAWN: Abundance and characteristics of microplastics in the Bellingshausen Sea, Antarctica, are distinguished by the Southern Antarctic Circumpolar Current Front",True,2020-07-01,2020,Chemosphere,journal-article,,,,,UNASSESSED,
F039,2020,10.1142/s0217751x20501341,10.1142/s0217751x2093001x,retraction,2020-10-02,retraction-watch,Retraction,Notice of Retraction “U(1) gauged model of FJ-type chiral boson based on Batalin–Fradkin–Vilkovisky formalism”,2020-10-02,U(1) gauged model of FJ-type chiral boson based on Batalin–Fradkin–Vilkovisky formalism,False,2020-08-20,2020,International Journal of Modern Physics A,journal-article,,,,,UNASSESSED,
F040,2020,10.1016/j.physb.2020.412002,10.1016/j.physb.2020.412002,retraction,2020-01-08,publisher,Retraction,WITHDRAWN: Assessment of ionizing radiation attenuation features of zirconolite silicate glasses using XCOM and FLUKA simulation code,2020-01-01,WITHDRAWN: Assessment of ionizing radiation attenuation features of zirconolite silicate glasses using XCOM and FLUKA simulation code,True,2020-01-01,2020,Physica B: Condensed Matter,journal-article,,,,,UNASSESSED,
F041,2021,10.1038/s41598-021-92676-0,10.1038/s41598-021-94669-5,correction,2021-07-21,publisher,Correction,Author Correction: The use of N-acetylcysteine in the prevention of hangover: a randomized trial,2021-07-21,The use of N-acetylcysteine in the prevention of hangover: a randomized trial,False,2021-06-28,2021,Scientific Reports,journal-article,,,,,UNASSESSED,
F042,2021,10.1038/s41440-020-00571-4,10.1038/s41440-021-00622-4,correction,2021-02-08,publisher,Correction,Correction: Accuracy of the FMF Bayes theorem-based model for predicting preeclampsia at 11–13 weeks of gestation in a Japanese population,2021-02-08,Accuracy of the FMF Bayes theorem-based model for predicting preeclampsia at 11–13 weeks of gestation in a Japanese population,False,2020-11-06,2020,Hypertension Research,journal-article,,,,,UNASSESSED,
F043,2021,10.1007/s10851-020-01015-x,10.1007/s10851-021-01028-0,correction,2021-04-07,publisher,Correction,Correction to: Non-congruent non-degenerate curves with identical signatures,2021-04-07,Non-congruent non-degenerate curves with identical signatures,False,2021-02-08,2021,Journal of Mathematical Imaging and Vision,journal-article,,,,,UNASSESSED,
F044,2021,10.1038/s41598-020-75103-8,10.1038/s41598-021-83230-z,correction,2021-02-08,publisher,Correction,Author Correction: A nanocomposite hydrogel with catalytic properties for trace-element detection in real-world samples,2021-02-08,A nanocomposite hydrogel with catalytic properties for trace-element detection in real-world samples,False,2020-10-27,2020,Scientific Reports,journal-article,,,,,UNASSESSED,
F045,2021,10.1088/1757-899x/1145/1/012055,10.1088/1757-899x/1145/1/012174,retraction,2022-02-23,retraction-watch,Retraction,"Retraction: Synthesis, identification and study of mesomorphic properties of compounds containing two C2H2N2O rings (IOP Conf. Ser.: Mater. Sci. Eng.
                  1145 012055)",2021-04-01,"Synthesis, identification and study of mesomorphic properties of compounds containing two C2H2N2O rings",False,2021-04-01,2021,IOP Conference Series: Materials Science and Engineering,journal-article,,,,,UNASSESSED,
F046,2021,10.4102/jamba.v11i1.725,10.4102/jamba.v13i1.1036,retraction,2021-03-10,retraction-watch,Retraction,"Retraction notice to: ‘Monitoring droughts in Eswatini: A spatiotemporal variability analysis using the Standard Precipitation Index’, Jàmbá: Journal of Disaster Risk Studies 11(1), a725",2021-03-10,Monitoring droughts in Eswatini: A spatiotemporal variability analysis using the Standard Precipitation Index,False,2019-10-03,2019,Jàmbá Journal of Disaster Risk Studies,journal-article,,,,,UNASSESSED,
F047,2021,10.1007/s12517-021-06789-x,10.1007/s12517-021-09025-8,retraction,2021-11-23,retraction-watch,Retraction,Retraction Note to: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,2021-11-23,RETRACTED ARTICLE: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,True,2021-03-10,2021,Arabian Journal of Geosciences,journal-article,,,,,UNASSESSED,
F048,2021,10.1007/s12517-021-06789-x,10.1007/s12517-021-09025-8,retraction,2021-11-23,publisher,Retraction,Retraction Note to: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,2021-11-23,RETRACTED ARTICLE: Marine climate prediction based on satellite remote sensing and landscape design of green space in coastal areas,True,2021-03-10,2021,Arabian Journal of Geosciences,journal-article,,,,,UNASSESSED,
F049,2022,10.1111/ced.14339,10.1111/ced.15282,correction,2022-07-08,publisher,Correction,Corrigendum,2022-08-01,Teriflunomide-induced drug reaction with eosinophilia and systemic symptoms (DRESS) syndrome,False,2021-01-01,2021,Clinical and Experimental Dermatology,journal-article,,,,,UNASSESSED,
F050,2022,10.1002/smtd.202100938,10.1002/smtd.202200739,correction,2022-07-01,publisher,Correction,Isolation and Genomic Analysis of Single Circulating Tumor Cell Using Human Telomerase Reverse Transcriptase and Desmoglein‐2,2022-07-01,Isolation and Genomic Analysis of Single Circulating Tumor Cell Using Human Telomerase Reverse Transcriptase and Desmoglein‐2,False,2022-01-17,2022,Small Methods,journal-article,,,,,UNASSESSED,
F051,2022,10.1080/00914037.2015.1055631,10.1080/00914037.2022.2060646,correction,2022-04-07,publisher,Correction,Correction,2022-04-07,Surface-initiated RAFT polymerization of p (MA POSS-<i>co</i>-DMAEMA<sup>+</sup>) brushes on PDMS for improving antiadhesive and antibacterial properties,False,2015-09-18,2015,International Journal of Polymeric Materials and Polymeric Biomaterials,journal-article,,,,,UNASSESSED,
F052,2022,10.1007/s00266-022-02778-x,10.1007/s00266-022-02831-9,correction,2022-03-14,publisher,Correction,Correction: Clinical Efficacy Analysis of Augmentation Mammoplasty with Cell-Assisted Autologous Fat Transplantation,2022-03-14,Clinical Efficacy Analysis of Augmentation Mammoplasty with Cell-Assisted Autologous Fat Transplantation,False,2022-02-15,2022,Aesthetic Plastic Surgery,journal-article,,,,,UNASSESSED,
F053,2022,10.1016/j.cplett.2022.139863,10.1016/j.cplett.2022.139863,retraction,2022-09-16,publisher,Retraction,RETRACTED: A FRET-based dual fluorescent probe with nitrogen doped carbon dots as the energy donor for selective detection of Fe3+,2022-09-01,RETRACTED: A FRET-based dual fluorescent probe with nitrogen doped carbon dots as the energy donor for selective detection of Fe3+,True,2022-09-01,2022,Chemical Physics Letters,journal-article,,,,,UNASSESSED,
F054,2022,10.1158/0008-5472.can-08-2780,10.1158/0008-5472.can-22-2399,retraction,2022-09-16,retraction-watch,Retraction,Retraction: CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,2022-09-16,CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,False,2008-12-15,2008,Cancer Research,journal-article,,,,,UNASSESSED,
F055,2022,10.1158/0008-5472.can-08-2780,10.1158/0008-5472.can-22-2399,retraction,2022-09-16,publisher,Retraction,Retraction: CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,2022-09-16,CXCR6 Induces Prostate Cancer Progression by the AKT/Mammalian Target of Rapamycin Signaling Pathway,False,2008-12-15,2008,Cancer Research,journal-article,,,,,UNASSESSED,
F056,2022,10.1007/s11046-004-1820-x,10.1007/s11046-022-00641-w,retraction,2022-05-26,retraction-watch,Retraction,Retraction Note to: Epidemiology and molecular typing of Candida isolates from burn patients,2022-05-26,RETRACTED ARTICLE: Epidemiology and molecular typing of Candida isolates from burn patients,True,2004-07-30,2004,Mycopathologia,journal-article,,,,,UNASSESSED,
F057,2023,10.1080/10447318.2022.2143027,10.1080/10447318.2023.2170002,correction,2023-01-17,publisher,Correction,Correction,2023-01-17,Factors Associated with Intention of Sustainable Use in Players of the Wii Fit or Smartphone-Based Fitness Applications,False,2022-11-15,2022,International Journal of Human–Computer Interaction,journal-article,,,,,UNASSESSED,
F058,2023,10.1097/jdn.0000000000000750,10.1097/jdn.0000000000000762,correction,2023-09-01,publisher,Correction,Tips and Tricks: Erratum,2023-09-01,Tips and Tricks,False,2023-07-01,2023,Journal of the Dermatology Nurses' Association,journal-article,,,,,UNASSESSED,
F059,2023,10.1007/s00170-023-12215-1,10.1007/s00170-023-12362-5,correction,2023-09-28,publisher,Correction,Correction to: Influence of the material manufacturing process on micromilling Ti6Al4V alloy,2023-09-28,Influence of the material manufacturing process on micromilling Ti6Al4V alloy,False,2023-09-11,2023,The International Journal of Advanced Manufacturing Technology,journal-article,,,,,UNASSESSED,
F060,2023,10.1038/s41598-023-47880-5,10.1038/s41598-023-50297-9,correction,2023-12-21,publisher,Correction,Author Correction: An investigation on humans’ sensitivity to environmental temperature,2023-12-21,An investigation on humans’ sensitivity to environmental temperature,False,2023-12-04,2023,Scientific Reports,journal-article,,,,,UNASSESSED,
F061,2023,10.1080/24701556.2020.1799398,10.1080/24701556.2024.2327709,retraction,2024-04-01,publisher,Retraction,Statement of Retraction: Zn(II) and Co(II)-based coordination polymers: anesthesia effect by regulating animal blood pressure in hip replacement operation,2024-04-01,RETRACTED ARTICLE: Zn(II) and Co(II)-based coordination polymers: anesthesia effect by regulating animal blood pressure in hip replacement operation,True,2020-08-03,2020,Inorganic and Nano-Metal Chemistry,journal-article,,,,,UNASSESSED,
F062,2023,10.1155/2022/2084276,10.1155/2023/9768716,retraction,2023-10-04,retraction-watch,Retraction,Retracted: Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,2023-10-04,Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,False,2022-03-15,2022,Journal of Healthcare Engineering,journal-article,,,,,UNASSESSED,
F063,2023,10.1155/2022/2084276,10.1155/2023/9768716,retraction,2023-10-04,publisher,Retraction,Retracted: Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,2023-10-04,Prediction Value of Epilepsy Secondary to Inferior Cavity Hemorrhage Based on Scalp EEG Wave Pattern in Deep Learning,False,2022-03-15,2022,Journal of Healthcare Engineering,journal-article,,,,,UNASSESSED,
F064,2023,10.1155/2022/3053694,10.1155/2023/9783091,retraction,2023-07-26,retraction-watch,Retraction,Retracted: Study of the Effectiveness of 5G Mobile Internet Technology to Promote the Reform of English Teaching in the Universities and Colleges,2023-07-26,Study of the Effectiveness of 5G Mobile Internet Technology to Promote the Reform of English Teaching in the Universities and Colleges,False,2022-07-13,2022,Computational Intelligence and Neuroscience,journal-article,,,,,UNASSESSED,
F065,2024,10.1186/s12939-024-02229-w,10.1186/s12939-024-02330-0,correction,2024-11-15,publisher,Correction,Correction: Making health inequality analysis accessible: WHO tools and resources using Microsoft Excel,2024-11-15,Making health inequality analysis accessible: WHO tools and resources using Microsoft Excel,False,2024-10-09,2024,International Journal for Equity in Health,journal-article,,,,,UNASSESSED,
F066,2024,10.1186/s12967-022-03317-7,10.1186/s12967-024-05632-7,correction,2024-09-13,publisher,Correction,Correction to: Lenvatinib inhibits the growth of gastric cancer patient‑derived xenografts generated from a heterogeneous populations,2024-09-13,Lenvatinib inhibits the growth of gastric cancer patient-derived xenografts generated from a heterogeneous population,False,2022-03-07,2022,Journal of Translational Medicine,journal-article,,,,,UNASSESSED,
F067,2024,10.1088/1475-7516/2023/09/044,10.1088/1475-7516/2024/02/e01,correction,2024-02-22,publisher,Correction,Erratum: New method to revisit the gravitational lensing analysis of the Bullet Cluster using radio waves,2024-02-22,New method to revisit the gravitational lensing analysis of the Bullet Cluster using radio waves,False,2023-09-20,2023,Journal of Cosmology and Astroparticle Physics,journal-article,,,,,UNASSESSED,
F068,2024,10.1007/s12013-024-01403-9,10.1007/s12013-024-01490-8,correction,2024-08-28,publisher,Correction,"Correction: In Silico Investigation against Inhibitors of Alpha-Amylase Using Structure-based Screening, Molecular Docking, and Molecular Simulations Studies",2024-08-28,"In Silico Investigation against Inhibitors of Alpha-Amylase Using Structure-based Screening, Molecular Docking, and Molecular Simulations Studies",False,2024-07-09,2024,Cell Biochemistry and Biophysics,journal-article,,,,,UNASSESSED,
F069,2024,10.1016/j.energy.2021.120910,10.1016/j.energy.2024.130381,retraction,2024-01-23,retraction-watch,Retraction,Retraction notice to “Analysis of the performance of the multi-objective hybrid hydropower-photovoltaic-wind system to reduce variance and maximum power generation by developed owl search algorithm” [Energy 231 (2021) 120910],2024-03-01,RETRACTED: Analysis of the performance of the multi-objective hybrid hydropower-photovoltaic-wind system to reduce variance and maximum power generation by developed owl search algorithm,True,2021-09-01,2021,Energy,journal-article,,,,,UNASSESSED,
F070,2024,10.1371/journal.pone.0292680,10.1371/journal.pone.0312330,retraction,2024-10-14,retraction-watch,Retraction,Retraction: GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,2024-10-14,GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,False,2023-11-30,2023,PLOS ONE,journal-article,,,,,UNASSESSED,
F071,2024,10.1371/journal.pone.0292680,10.1371/journal.pone.0312330,retraction,2024-10-14,publisher,Retraction,Retraction: GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,2024-10-14,GIS-statically-based modelling the groundwater quality assessment coupled with soil and terrain attributes data,False,2023-11-30,2023,PLOS ONE,journal-article,,,,,UNASSESSED,
