person_id,canonical_name,identity_status,accepted_author_ids_n,raw_work_records_n,unique_work_records_n,duplicate_records_removed_n,plausible_unique_works_n,outside_window_unique_works_n,undated_unique_works_n,manual_work_review_required,mechanical_min_works_met,network_observable_before_work_audit,auto_release_after_mechanical_cleaning
cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,2,11,11,0,11,0,0,true,true,false,false
cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,3,71,71,0,67,4,0,true,true,false,false
cv_Q5932286,Dan Laksov,VERIFIED_SINGLE,1,76,76,0,76,0,0,false,true,true,false
cv_Q7926394,Victor Thébault,VERIFIED_SINGLE,1,406,406,0,405,1,0,true,true,false,false
cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,3,16,16,0,16,0,0,true,true,false,false
cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,2,2,2,0,2,0,0,true,false,false,false
cv_Q19287605,Karl Erich Hupka,VERIFIED_SINGLE,1,1,1,0,1,0,0,true,false,false,false
cv_Q3076441,James S. Albus,VERIFIED_SINGLE,1,312,312,0,311,1,0,false,true,true,false
cv_Q47504806,Hannah Gavron,VERIFIED_SINGLE,1,10,10,0,7,3,0,false,true,true,false
cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,3,15,15,0,15,0,0,true,true,false,false
cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,2,84,84,0,75,9,0,true,true,false,false
cv_Q124897,Anton Moortgat,VERIFIED_CLUSTER,5,29,29,0,29,0,0,true,true,true,false
cv_Q1717446,Jürgen Manthey,VERIFIED_SINGLE,1,32,32,0,32,0,0,true,true,false,false
cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,2,2,2,0,2,0,0,true,false,false,false
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,1,83,83,0,71,12,0,true,true,false,false
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,1,22,22,0,22,0,0,true,true,false,false
cv_Q60859,Fritz Strassmann,VERIFIED_CLUSTER,2,101,101,0,81,20,0,true,true,true,false
cv_Q1354374,Erika Greber,VERIFIED_CLUSTER,3,41,41,0,34,7,0,true,true,true,false
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,1,8,8,0,8,0,0,true,true,false,false
cv_Q20242849,Willy Oelsen,VERIFIED_SINGLE,1,85,85,0,85,0,0,false,true,true,false
cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,2,2,2,0,2,0,0,true,false,false,false
cv_Q510562,Mary Alice McWhinnie,VERIFIED_SINGLE,1,31,31,0,27,4,0,false,true,true,false
cv_Q6213800,Joel Olson,VERIFIED_CLUSTER,3,51,51,0,48,3,0,true,true,true,false
cv_Q1459755,Friedrich Hoeth,VERIFIED_SINGLE,1,5,5,0,5,0,0,false,true,true,false
cv_Q1737527,Kazimierz Urbanik,VERIFIED_SINGLE,1,97,97,0,97,0,0,true,true,false,false
cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,1,75,75,0,75,0,0,true,true,false,false
cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,1,11,11,0,7,4,0,true,true,false,false
cv_Q5553312,Gertrude Elles,VERIFIED_SINGLE,1,44,44,0,43,1,0,true,true,false,false
cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,1,91,91,0,72,19,0,true,true,false,false
cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,2,3,3,0,3,0,0,true,false,false,false
cv_Q1795953,Otto Siebert,VERIFIED_SINGLE,1,3,3,0,3,0,0,true,false,false,false
cv_Q24287044,Hilario Hernández Gurruchaga,VERIFIED_CLUSTER,2,10,10,0,9,1,0,false,true,true,false
cv_Q400678,Ahmad Kasravi,VERIFIED_CLUSTER,2,13,13,0,0,13,0,true,false,false,false
cv_Q56329881,Armin Buschauer,VERIFIED_SINGLE,1,315,315,0,315,0,0,true,true,false,false
cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,3,4,4,0,4,0,0,true,false,false,false
