review_rank,person_id,canonical_name,identity_status,openalex_work_id,publication_year,title,cited_by_count,primary_topic_name,source_author_ids,sample_reason,work_belongs_to_focal_person,review_reason,reviewer,mh_blinded_at_work_audit,review_priority_score,review_priority_tier,priority_signals,machine_verdict,auto_release_allowed,auto_exclusion_allowed
11,cv_Q23059458,Minoo Lenarz,VERIFIED_SINGLE,W2899223667,2016,Verbesserte Knochenleitungsschwelle bei Primär- und Revisions-CO2-Laserstapedotomien nach 6 Monaten – davor zeigt sich eine Abhängigkeit zur verwendeten Laserenergie,0,Laser Applications in Dentistry and Medicine,A5073627948,latest,,,,,10,P1,identity_note_risk:namesake;posthumous_year:+1,NONE,false,false
12,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W4293144174,2013,"17 Cuba: Nonviolent Strategies for Autonomy and Independence, 1810s–1902",0,Cuban History and Society,A5073210039,latest,,,,,10,P1,identity_note_risk:fragment;verified_cluster;near_death_boundary;lexical_topic_outlier_review_only,NONE,false,false
13,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W3021446788,2010,PRINCÍPIOS E PRATICA EM TERAPIA SEXUAL,0,"Gender, Sexuality, and Education",A5075417166,latest,,,,,10,P1,identity_note_risk:fragment;verified_cluster;near_death_boundary;lexical_topic_outlier_review_only,NONE,false,false
14,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W4247686605,1965,SCHELLINGS ANTHROPOLOGISCHER ANSATZ,8,German Literature and Culture Studies,A5005844820,accepted_author_fragment:A5005844820,,,,,9,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
15,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W583349071,1984,Die Ordnung des Wissens,33,Kantian Philosophy and Modern Interpretations,A5117551307,accepted_author_fragment:A5117551307,,,,,9,P1,identity_note_risk:excluded|fragment;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
16,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W2000306932,1957,Die Unmöglichkeit von x6+y6=z6 und x9+y9=z9 in quadratischen Körpern,12,Polynomial and algebraic computation,A5035950863,accepted_author_fragment:A5035950863,,,,,9,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
17,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4246834022,1974,II. Restklassen und Kongruenzen,0,Economic and Social Issues,A5104740538,accepted_author_fragment:A5104740538,,,,,9,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
18,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4244491287,1975,Quadratische und kubische Restkriterien für das Auftreten einer Fibonacci-Primitivwurzel.,1,Advanced Mathematical Theories and Applications,A5103302324,accepted_author_fragment:A5103302324,,,,,9,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
19,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2768511506,1987,La deuda defraudada,4,"Aging, Health, and Disability",A5096507866,accepted_author_fragment:A5096507866,,,,,9,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
20,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W2568235246,1952,El pleno empleo y su política,0,"Employment, Labor, and Gender Studies",A5081201328,accepted_author_fragment:A5081201328,,,,,9,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
21,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2060889830,1967,Individual differences in memory span with and without activity intervening between presentation and recall.,13,Memory Processes and Influences,A5006728685,accepted_author_fragment:A5006728685,,,,,9,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
22,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2102433596,2010,Psychological and Interpersonal Dimensions of Sexual Function and Dysfunction,603,Sexual function and dysfunction studies,A5075417166,high_citation,,,,,9,P1,identity_note_risk:fragment;verified_cluster;near_death_boundary,NONE,false,false
23,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W1521672751,1914,Zur Psychologie des Massenmords,56,"Memory, History, Trauma, Identity",A5110908379,accepted_author_fragment:A5110908379,,,,,9,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only;fragment_anchor,NONE,false,false
24,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W1543105090,1958,Der Begriff Ernst bei Søren Kierkegaard,7,"Nietzsche, Schopenhauer, and Hegel",A5067845805,earliest,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
25,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W658723901,1970,Hegels Lehre vom absoluten Geist als theologisch-politischer Traktat,305,Economic and Social Issues,A5067845805,high_citation,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
26,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W2998800299,1984,The other,900,,A5067845805,accepted_author_fragment:A5067845805,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;fragment_anchor,NONE,false,false
27,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W1571151675,1991,Negative Theologie der Zeit,330,Christian Theology and Mission,A5067845805,high_citation,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
28,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W392992678,2000,Pindar : Menschenlos und Wende der Zeit,268,"Historical, Religious, and Philosophical Studies",A5067845805,temporal_median,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
29,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W1652132188,1931,Additive Verf�rbung von Alkalihalogenidkristallen,15,Nuclear materials and radiation effects,A5002011970,accepted_author_fragment:A5002011970,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
30,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W1984304186,1932,�ber die Natur des blauen Steinsalzes,3,Libraries and Information Services,A5002011970,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
31,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W3161578480,1933,Additive Verf�rbung von Alkalihalogenidkristallen,3,Chemical Thermodynamics and Molecular Structure,A5002011970,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
32,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W2061607585,1966,"Das Institut für Metallphysik und Reinstmetalle, Dresden, der Deutschen Akademie der Wissenschaften zu Berlin",3,Electron and X-Ray Spectroscopy Techniques,A5003181856,accepted_author_fragment:A5003181856,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
33,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W7204123645,1966,"Geleitwort zur Reihe „Reinststoffprobleme""",0,Engineering and Materials Science Studies,A5147921722,accepted_author_fragment:A5147921722,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
34,cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,W1967608998,1899,Zur Lehre von den sogenannten Dermoidcysten des Ovarium,5,Male Breast Health Studies,A5011649383,accepted_author_fragment:A5011649383,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
35,cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,W2216500393,1909,Die Roentgenuntersuchung der Brustorgane und ihre Ergebnisse für Physiologie und Pathologie,3,Radiation Dose and Imaging,A5098595922,accepted_author_fragment:A5098595922,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
36,cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,W564635468,1938,Svensk idealism : essayer,0,Social and Educational Sciences,A5076154763,accepted_author_fragment:A5076154763,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
37,cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,W2801451639,1962,"Vilhelm Ekelund. I, II",0,European and International Law Studies,A5040398759,accepted_author_fragment:A5040398759,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
38,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1534223153,2005,An overview of the Andorra Kernel Language,8,Spanish Linguistics and Language Studies,A5036562220,high_citation,,,,,8,P1,identity_note_risk:posthumous;near_death_boundary;lexical_topic_outlier_review_only,NONE,false,false
39,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4253131970,2005,Gödel's Theorem,78,"Computability, Logic, AI Algorithms",A5036562220,accepted_author_fragment:A5036562220,,,,,8,P1,identity_note_risk:posthumous;near_death_boundary;fragment_anchor,NONE,false,false
40,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W1988863942,1998,"Ultraviolet Photoelectron Spectroscopy of the o-, m-, and p-Benzyne Negative Ions. Electron Affinities and Singlet−Triplet Splittings for o-, m-, and p-Benzyne",321,Cyclization and Aryne Chemistry,A5050147955,accepted_author_fragment:A5050147955,,,,,8,P1,identity_note_risk:excluded|fragment|namesake;near_death_boundary;fragment_anchor,NONE,false,false
41,cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,W4232904871,1881,Ueber eine Reihe neuer Thatsachen aus dem Gebiete der Topologie,6,Homotopy and Cohomology in Algebraic Topology,A5071357435,accepted_author_fragment:A5071357435,,,,,8,P1,identity_note_risk:dedup;verified_cluster;fragment_anchor,NONE,false,false
42,cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,W2050857397,1884,Ueber eine Reihe neuer Thatsachen aus dem Gebiete der Topologie,7,Homotopy and Cohomology in Algebraic Topology,A5012920577,accepted_author_fragment:A5012920577,,,,,8,P1,identity_note_risk:dedup;verified_cluster;fragment_anchor,NONE,false,false
43,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W2115020326,1968,Konvention als System Zur Theorie der Modernisierung,0,"Weber, Simmel, Sociological Theory",A5065115676,earliest,,,,,8,P1,identity_note_risk:excluded|fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
44,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W264198133,1970,Regulation oder Mobilisation? Zur soziologischen Strategie der Schulreform (Regulation or Mobilisation? On the Sociological Strategy of School Reform).,0,Sociology and Education Studies,A5032249959,accepted_author_fragment:A5032249959,,,,,8,P1,identity_note_risk:excluded|fragment;verified_cluster;fragment_anchor,NONE,false,false
45,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W33292530,1985,Die Bundesrepublik zwischen Strukturkrise und Strukturwandel,0,European Socioeconomic and Political Studies,A5068802409,temporal_median,,,,,8,P1,identity_note_risk:excluded|fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
46,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W2479722403,1986,Kultur als System,18,Sociology and Education Studies,A5068802409,accepted_author_fragment:A5068802409,,,,,8,P1,identity_note_risk:excluded|fragment;verified_cluster;fragment_anchor,NONE,false,false
47,cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W645350768,1990,"Sozialer Wandel im Ungleichgewicht : Zyklen, Fluktuationen, Katastrophen",44,Sociology and Education Studies,A5065115676,accepted_author_fragment:A5065115676,,,,,8,P1,identity_note_risk:excluded|fragment;verified_cluster;fragment_anchor,NONE,false,false
48,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W2257397423,1938,Vitamin C in midwifery with special reference to blood regeneration.,0,"Dietetics, Nutrition, and Education",A5035950863,earliest,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
49,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4255774764,1942,Stufenreihen in Potenzrestcharakter.,8,Physics and Engineering Research Articles,A5035950863,high_citation,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
50,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W2067204594,1952,Weitere Ergebnisse �ber x3+y3=z3 in quadratischen K�rpern,10,Analytic Number Theory Research,A5035950863,high_citation,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
51,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W2399630491,1974,[Sound spectrographic examinations of heart sounds and murmurs in aortic valve lesions].,0,Phonocardiography and Auscultation Techniques,A5035950863,temporal_median,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
52,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4246267587,1974,Bezeichnungen,4,,A5100268971,accepted_author_fragment:A5100268971,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;fragment_anchor,NONE,false,false
53,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4249692639,1974,IV. Das quadratische Reziprozitätsgesetz,0,Law and Political Science,A5104793263,accepted_author_fragment:A5104793263,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;fragment_anchor,NONE,false,false
54,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4255985411,1974,Anhang,0,Public Administration and Political Analysis,A5104676356,accepted_author_fragment:A5104676356,,,,,8,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;fragment_anchor,NONE,false,false
55,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W3165340892,1892,"Voyage et avantures de François Léguat et de ses compagnons en deux isles désertes des Indes orientales ; à Londres, chez David Mortier, 1721",0,"Colonialism, slavery, and trade",A5001687639,earliest,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
56,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W3134585762,1903,Ouverture des conférences à la Faculté des lettres de l’Université de Paris,0,Linguistics and Discourse Analysis,A5001687639,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
57,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2126125349,1910,"La culture française en Russie, 1700-1900",2,European Political History Analysis,A5001687639,accepted_author_fragment:A5001687639,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
58,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2008394378,1914,La nationalité serbo-croate,3,"Balkans: History, Politics, Society",A5032545110,accepted_author_fragment:A5032545110,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
59,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2301885676,1917,Deux études de Mr V. P. Semenov-Tian-Chanskiï Sur la géographie politique de la Russie,0,Arctic and Russian Policy Studies,A5032545110,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
60,cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,W2059790228,1919,Les influences géographiques dans la formation de la Russie [Premier article],0,Historical Geography and Geographical Thought,A5032545110,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
61,cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,W2952316453,1963,Béthylides nord-africains récoltés par M. L. BERLAND,4,African Botany and Ecology Studies,A5063335980,accepted_author_fragment:A5063335980,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
62,cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,W7153952053,1968,Synopsis des Filistatidae africains (Araneae),0,Spider Taxonomy and Behavior Studies,A5133441731,accepted_author_fragment:A5133441731,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
63,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2084353576,1986,"Grupos económicos y decisiones financieras en el Perú, 1884-1930",1,History and Politics in Latin America,A5110164869,accepted_author_fragment:A5110164869,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
64,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2029767684,1989,"The Peruvian Mining Industry: Growth, Stagnation, and Crisis.",29,Mining and Resource Management,A5073210039,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
65,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W2335221281,1994,"Reassessing the Role of Credit in Late Colonial Peru: Censos, Escrituras, and Imposiciones",36,Historical Studies in Latin America,A5073210039,accepted_author_fragment:A5073210039,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
66,cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,W597841356,2008,Corrupt Circles: A History of Unbound Graft in Peru,28,"Crime, Illicit Activities, and Governance",A5073210039,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
67,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W4249480086,1951,Die Vermögenssubstanzsteuer,0,Accounting Theory and Financial Reporting,A5028266044,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
68,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W583886472,1953,Die öffentliche Wirtschaft,9,Environmental Science and Technology,A5028266044,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
69,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W581878348,1954,Grenzen der Besteuerung,2,Corporate Taxation and Avoidance,A5028266044,temporal_median,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
70,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W2742270624,1961,Handbook on Austrian economy policy.,0,European Socioeconomic and Political Studies,A5074476770,accepted_author_fragment:A5074476770,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
71,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W658411600,1961,Handbuch der Österreichischen Wirtschaftspolitik,27,European Socioeconomic and Political Studies,A5028266044,accepted_author_fragment:A5028266044,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
72,cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,W4411050560,1978,Landschaftsplanung und Ökonomie,0,"Ecology, Conservation, and Geographical Studies",A5117838490,accepted_author_fragment:A5117838490,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
73,cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,W585227072,1978,"Nutzwertanalyse, Bewertungstheorie und Planung",50,Corporate Governance and Management,A5047717282,accepted_author_fragment:A5047717282,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
74,cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,W4400362932,1980,"Die Nutzwertanalyse der zweiten Generation – Unsinn, Spielerei oder Weiterentwicklung?",1,Social and Demographic Issues in Germany,A5050704155,accepted_author_fragment:A5050704155,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
75,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2069897728,2000,REPORT OF THE INTERNATIONAL CONSENSUS DEVELOPMENT CONFERENCE ON FEMALE SEXUAL DYSFUNCTION: DEFINITIONS AND CLASSIFICATIONS,1263,Sexual function and dysfunction studies,A5075417166,accepted_author_fragment:A5075417166,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
76,cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,W2062126815,2002,"Female androgen insufficiency: the princeton consensus statement on definition, classification, and assessment",444,Hormonal and reproductive studies,A5075417166,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
77,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2927354890,1896,Das K. Württembergische Landes-Gewerbemuseum in Stuttgart,0,Medieval European History and Architecture,A5110908379,earliest,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
78,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2972656368,1910,Uber paranoische Veranlagung und abortive Paranoia,33,Mental Health and Psychiatry,A5037385437,accepted_author_fragment:A5037385437,,,,,8,P1,identity_note_risk:fragment;verified_cluster;fragment_anchor,NONE,false,false
79,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2002611549,1911,Über den Begriff der Hysterie,42,German Literature and Culture Studies,A5110908379,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
80,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2944943648,1926,Die unfruchtbarmachung geistig und sittlich minderwertiger,19,Psychoanalysis and Social Critique,A5110908379,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
81,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2088798354,1938,Krankheit und Tod des paranoischen Massenmörders Hauptlehrer Wagner. Eine Epikrise,15,"Nietzsche, Schopenhauer, and Hegel",A5110908379,high_citation,,,,,8,P1,identity_note_risk:fragment;verified_cluster;lexical_topic_outlier_review_only,NONE,false,false
82,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W4232552158,1965,Der Andere,173,,A5067845805,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster,NONE,false,false
83,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W1511553732,1978,Sein und Schein : die kritische Funktion der Hegelschen Logik,113,Kantian Philosophy and Modern Interpretations,A5067845805,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster,NONE,false,false
84,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W588798833,1981,Kritische Theorie der Gesellschaft,236,Critical Theory and Philosophy,A5067845805,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster,NONE,false,false
85,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W1587428615,1984,"The other : studies in the social ontology of Husserl, Heidegger, Sartre, and Buber",453,Phenomenology and Existential Philosophy,A5067845805,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster,NONE,false,false
86,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W4300937062,2005,Kierkegaard's Concept of Despair,252,Kierkegaardian Philosophy and Influence,A5067845805,high_citation,,,,,7,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster,NONE,false,false
87,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W2914198774,1931,Festigkeitseigenschaften bew�sserter Salzkristalle. II,5,Solid-state spectroscopy and crystallography,A5002011970,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
88,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W2038728383,1932,�ber das Tempern von Salzkristallen,11,Building materials and conservation,A5002011970,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
89,cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,W4247985935,1932,Additive Verf�rbung von Alkalihalogenidkristallen,13,Nuclear materials and radiation effects,A5002011970,high_citation,,,,,7,P1,identity_note_risk:fragment;verified_cluster,NONE,false,false
