pair_id,iso3_i,iso3_j,contig,col45,col_dep_ever,sibling_ever,comlang_ethno,comlang_off,col_dep_end_conflict,comcol,col_dep_end_year,cepii_first_panel_year,cepii_last_panel_year,dist,dist_max_spread
AFG__FJI,AFG,FJI,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12875.0,0.0
AFG__FRA,AFG,FRA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5594.0,0.0
AFG__FSM,AFG,FSM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9489.0,0.0
AFG__GAB,AFG,GAB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7250.0,0.0
AFG__GBR,AFG,GBR,0.0,0.0,1,0.0,0.0,0.0,,0.0,1919.0,1948,2021,5720.0,0.0
AFG__GEO,AFG,GEO,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2268.0,0.0
AFG__GHA,AFG,GHA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7805.5,59.0
AFG__GIN,AFG,GIN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8761.0,0.0
AFG__GMB,AFG,GMB,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,8802.0,0.0
AFG__GNB,AFG,GNB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8800.0,0.0
AFG__GNQ,AFG,GNQ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7122.0,0.0
AFG__GRD,AFG,GRD,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12710.0,0.0
AFG__GTM,AFG,GTM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14161.0,0.0
AFG__GUY,AFG,GUY,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12845.0,0.0
AFG__HND,AFG,HND,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14077.0,0.0
AFG__HTI,AFG,HTI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,12866.0,0.0
AFG__IDN,AFG,IDN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5999.0,0.0
AFG__IND,AFG,IND,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,1648.0,1292.0
AFG__IRN,AFG,IRN,1.0,0.0,0,0.0,1.0,1.0,,0.0,,1948,2021,1621.0,0.0
AFG__IRQ,AFG,IRQ,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,2288.0,0.0
AFG__ISR,AFG,ISR,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3199.0,0.0
AFG__ITA,AFG,ITA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4941.0,0.0
AFG__JAM,AFG,JAM,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,13173.0,0.0
AFG__JOR,AFG,JOR,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3096.0,0.0
AFG__JPN,AFG,JPN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6282.0,0.0
AFG__KAZ,AFG,KAZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1177.0,0.0
AFG__KEN,AFG,KEN,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,5206.0,0.0
AFG__KGZ,AFG,KGZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1038.0,0.0
AFG__KHM,AFG,KHM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4420.0,0.0
AFG__KIR,AFG,KIR,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,11192.0,0.0
AFG__KNA,AFG,KNA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12350.0,0.0
AFG__KOR,AFG,KOR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5137.0,0.0
AFG__KWT,AFG,KWT,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,2079.0,0.0
AFG__LAO,AFG,LAO,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3784.0,0.0
AFG__LBN,AFG,LBN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3091.0,0.0
AFG__LBR,AFG,LBR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8700.0,0.0
AFG__LBY,AFG,LBY,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5125.0,0.0
AFG__LCA,AFG,LCA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12496.0,0.0
AFG__LKA,AFG,LKA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3246.0,0.0
AFG__LSO,AFG,LSO,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,8315.0,0.0
AFG__MAR,AFG,MAR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6902.0,0.0
AFG__MDG,AFG,MDG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6343.0,0.0
AFG__MDV,AFG,MDV,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3390.0,0.0
AFG__MEX,AFG,MEX,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13907.0,0.0
AFG__MHL,AFG,MHL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10676.0,0.0
AFG__MLI,AFG,MLI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8058.0,0.0
AFG__MMR,AFG,MMR,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3327.0,0.0
AFG__MNG,AFG,MNG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3449.0,0.0
AFG__MOZ,AFG,MOZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7731.5,7.0
AFG__MRT,AFG,MRT,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8462.0,0.0
AFG__MUS,AFG,MUS,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,6178.0,0.0
AFG__MWI,AFG,MWI,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,6591.0,96.0
AFG__MYS,AFG,MYS,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,4991.5,311.0
AFG__NAM,AFG,NAM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8380.0,0.0
AFG__NER,AFG,NER,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7080.0,0.0
AFG__NGA,AFG,NGA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7340.5,105.0
AFG__NIC,AFG,NIC,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14229.0,0.0
AFG__NLD,AFG,NLD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5382.0,32.0
AFG__NPL,AFG,NPL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1713.0,0.0
AFG__NRU,AFG,NRU,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,10756.0,0.0
AFG__NZL,AFG,NZL,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,13464.0,0.0
AFG__OMN,AFG,OMN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1587.0,0.0
AFG__PAK,AFG,PAK,1.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,1086.0,0.0
AFG__PAN,AFG,PAN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14174.0,0.0
AFG__PER,AFG,PER,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,15795.0,0.0
AFG__PHL,AFG,PHL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5622.0,0.0
AFG__PLW,AFG,PLW,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7295.5,3.0
AFG__PNG,AFG,PNG,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,9522.0,0.0
AFG__PRK,AFG,PRK,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4994.0,0.0
AFG__PRT,AFG,PRT,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6799.0,0.0
AFG__PRY,AFG,PRY,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14848.0,0.0
AFG__QAT,AFG,QAT,0.0,0.0,0,1.0,1.0,1.0,,0.0,,1948,2021,1988.5,7.0
AFG__RWA,AFG,RWA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5742.0,0.0
AFG__SAU,AFG,SAU,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2821.0,790.0
AFG__SDN,AFG,SDN,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,4219.0,0.0
AFG__SEN,AFG,SEN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8796.0,0.0
AFG__SGP,AFG,SGP,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,5147.0,0.0
AFG__SLB,AFG,SLB,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,10672.0,0.0
AFG__SLE,AFG,SLE,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,8789.0,0.0
AFG__SLV,AFG,SLV,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14202.0,0.0
AFG__SOM,AFG,SOM,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,4364.0,0.0
AFG__SSD,AFG,SSD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5077.0,0.0
AFG__STP,AFG,STP,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7493.0,0.0
AFG__SUR,AFG,SUR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,12673.0,0.0
AFG__SWZ,AFG,SWZ,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7839.0,0.0
AFG__SYC,AFG,SYC,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,4566.0,0.0
AFG__SYR,AFG,SYR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2963.0,122.0
AFG__TCD,AFG,TCD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5984.0,0.0
AFG__TGO,AFG,TGO,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7611.0,0.0
AFG__THA,AFG,THA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3905.0,0.0
AFG__TJK,AFG,TJK,1.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,446.0,0.0
AFG__TKM,AFG,TKM,1.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1041.0,0.0
AFG__TLS,AFG,TLS,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7609.0,0.0
AFG__TON,AFG,TON,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,13619.0,0.0
AFG__TTO,AFG,TTO,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12805.0,0.0
AFG__TUN,AFG,TUN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5261.0,0.0
AFG__TUR,AFG,TUR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3583.0,0.0
AFG__TUV,AFG,TUV,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12380.0,0.0
AFG__TWN,AFG,TWN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5112.0,6.0
AFG__TZA,AFG,TZA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,5553.0,0.0
AFG__UGA,AFG,UGA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,5368.0,0.0
AFG__URY,AFG,URY,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,15081.0,0.0
AFG__USA,AFG,USA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,10862.0,0.0
AFG__UZB,AFG,UZB,1.0,0.0,0,0.0,1.0,0.0,,0.0,,1948,2021,748.0,0.0
AFG__VCT,AFG,VCT,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12582.0,0.0
AFG__VEN,AFG,VEN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13213.0,0.0
AFG__VNM,AFG,VNM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4624.0,0.0
AFG__VUT,AFG,VUT,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,11931.0,0.0
AFG__WSM,AFG,WSM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13527.0,0.0
AFG__YEM,AFG,YEM,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3348.5,139.0
AFG__ZAF,AFG,ZAF,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,8621.0,1242.0
AFG__ZMB,AFG,ZMB,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,6908.0,222.0
AFG__ZWE,AFG,ZWE,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7061.0,0.0
AGO__ARE,AGO,ARE,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5919.0,0.0
AGO__ARG,AGO,ARG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7780.0,0.0
AGO__ARM,AGO,ARM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6309.0,0.0
AGO__ATG,AGO,ATG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8742.0,0.0
AGO__AUS,AGO,AUS,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13178.0,714.0
AGO__AZE,AGO,AZE,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6623.0,0.0
AGO__BDI,AGO,BDI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1884.0,0.0
AGO__BEL,AGO,BEL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6668.0,0.0
AGO__BEN,AGO,BEN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2071.5,11.0
AGO__BFA,AGO,BFA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2901.0,86.0
AGO__BGD,AGO,BGD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9121.0,0.0
AGO__BHR,AGO,BHR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5599.0,0.0
AGO__BHS,AGO,BHS,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10485.0,0.0
AGO__BLZ,AGO,BLZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,11572.0,0.0
AGO__BOL,AGO,BOL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8829.0,0.0
AGO__BRA,AGO,BRA,0.0,0.0,0,1.0,1.0,1.0,,0.0,,1948,2021,6381.5,355.0
AGO__BRB,AGO,BRB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8410.0,0.0
AGO__BRN,AGO,BRN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,11387.0,0.0
AGO__BTN,AGO,BTN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9144.0,0.0
AGO__BWA,AGO,BWA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2208.0,0.0
AGO__CAF,AGO,CAF,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1574.0,0.0
AGO__CAN,AGO,CAN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10677.0,438.0
AGO__CHL,AGO,CHL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8912.0,0.0
AGO__CHN,AGO,CHN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,12250.0,0.0
AGO__CIV,AGO,CIV,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2476.0,0.0
AGO__CMR,AGO,CMR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1448.0,60.0
AGO__COD,AGO,COD,1.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,549.0,0.0
AGO__COG,AGO,COG,1.0,0.0,0,0.0,1.0,0.0,,0.0,,1948,2021,554.0,0.0
AGO__COL,AGO,COL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9802.0,0.0
AGO__COM,AGO,COM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3302.0,0.0
AGO__CPV,AGO,CPV,0.0,0.0,0,1.0,1.0,1.0,,1.0,,1948,2021,4831.0,0.0
AGO__CRI,AGO,CRI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10979.0,0.0
AGO__CUB,AGO,CUB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10968.0,0.0
AGO__CYP,AGO,CYP,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5310.0,0.0
AGO__DEU,AGO,DEU,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6799.0,0.0
AGO__DJI,AGO,DJI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4008.0,0.0
AGO__DMA,AGO,DMA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8650.0,0.0
AGO__DOM,AGO,DOM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9609.0,0.0
AGO__DZA,AGO,DZA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5158.0,0.0
AGO__ECU,AGO,ECU,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10326.0,0.0
AGO__EGY,AGO,EGY,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4714.0,0.0
AGO__ERI,AGO,ERI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3896.0,0.0
AGO__ESP,AGO,ESP,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5699.5,49.0
AGO__ETH,AGO,ETH,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3450.0,0.0
AGO__FJI,AGO,FJI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,16613.0,0.0
AGO__FRA,AGO,FRA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6479.0,0.0
AGO__FSM,AGO,FSM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,16164.0,0.0
AGO__GAB,AGO,GAB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1103.0,0.0
AGO__GBR,AGO,GBR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6808.0,0.0
AGO__GEO,AGO,GEO,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6458.0,0.0
AGO__GHA,AGO,GHA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2280.5,199.0
AGO__GIN,AGO,GIN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3609.0,0.0
AGO__GMB,AGO,GMB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4124.0,0.0
AGO__GNB,AGO,GNB,0.0,0.0,0,1.0,0.0,1.0,,1.0,,1948,2021,3927.0,0.0
AGO__GNQ,AGO,GNQ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1244.0,0.0
AGO__GRD,AGO,GRD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8611.0,0.0
AGO__GTM,AGO,GTM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,11735.0,0.0
AGO__GUY,AGO,GUY,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8107.0,0.0
AGO__HND,AGO,HND,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,11372.0,0.0
AGO__HTI,AGO,HTI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9863.0,0.0
AGO__IDN,AGO,IDN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10308.0,0.0
AGO__IND,AGO,IND,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8060.0,1652.0
AGO__IRN,AGO,IRN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6351.0,0.0
AGO__IRQ,AGO,IRQ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5716.0,0.0
AGO__ISR,AGO,ISR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5075.0,0.0
AGO__ITA,AGO,ITA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5618.0,0.0
AGO__JAM,AGO,JAM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10320.0,0.0
AGO__JOR,AGO,JOR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5120.0,0.0
AGO__JPN,AGO,JPN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13852.0,0.0
AGO__KAZ,AGO,KAZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8625.0,0.0
AGO__KEN,AGO,KEN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2743.0,0.0
AGO__KGZ,AGO,KGZ,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8437.0,0.0
AGO__KHM,AGO,KHM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,10394.0,0.0
AGO__KIR,AGO,KIR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,17640.0,0.0
AGO__KNA,AGO,KNA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8838.0,0.0
